,Datum,Tmit,Sges,Rges
0,01.01.2012,"12,1",0,"5,7"
1,02.01.2012,"8,3",0,"3,0"
2,03.01.2012,"8,2",0,"2,8"
3,04.01.2012,"6,8","0,7","5,7"
4,05.01.2012,7,"0,5","17,4"
5,06.01.2012,"5,8","0,7","2,9"
6,07.01.2012,"6,7","0,2","4,1"
7,08.01.2012,"6,3","0,1","5,6"
8,09.01.2012,"7,4",0,"1,7"
9,10.01.2012,"8,1","0,7","0,0"
10,11.01.2012,"9,2","0,5","0,0"
11,12.01.2012,8,"0,1","4,8"
12,13.01.2012,"4,8","4,2","0,0"
13,14.01.2012,"4,4","3,5","0,0"
14,15.01.2012,"2,6","7,1","0,0"
15,16.01.2012,"0,6","7,8","0,0"
16,17.01.2012,"0,6","7,2","0,0"
17,18.01.2012,2,"1,9","9,2"
18,19.01.2012,"6,9",0,"16,1"
19,20.01.2012,4,"0,6","7,0"
20,21.01.2012,"6,3",0,"7,5"
21,22.01.2012,"6,7",0,"0,9"
22,23.01.2012,"5,2","0,6","2,4"
23,24.01.2012,"3,5",3,"0,0"
24,25.01.2012,"3,1","2,6","0,0"
25,26.01.2012,"3,3","0,3","0,4"
26,27.01.2012,"3,8","6,8","0,0"
27,28.01.2012,2,"4,7","0,0"
28,29.01.2012,"-0,2",0,"0,0"
29,30.01.2012,"0,4",0,"0,0"
30,31.01.2012,"-1,9","7,9","0,0"
31,01.02.2012,"-5,2","8,3","0,0"
32,02.02.2012,-7,"8,5","0,0"
33,03.02.2012,"-7,2","3,1","0,0"
34,04.02.2012,"-6,8","7,7","0,0"
35,05.02.2012,"-6,1","8,1","0,0"
36,06.02.2012,-6,"8,6","0,0"
37,07.02.2012,-8,"6,4","0,0"
38,08.02.2012,"-3,8","7,6","0,0"
39,09.02.2012,-4,"0,4","0,0"
40,10.02.2012,-4,"8,9","0,0"
41,11.02.2012,"-6,2","9,2","0,0"
42,12.02.2012,"-4,2","0,1","0,0"
43,13.02.2012,"0,4",0,"2,5"
44,14.02.2012,"3,1","0,1","3,8"
45,15.02.2012,"4,4","0,1","0,2"
46,16.02.2012,"4,4",0,"1,9"
47,17.02.2012,"5,6",0,"0,8"
48,18.02.2012,"7,5",0,"3,1"
49,19.02.2012,3,5,"1,7"
50,20.02.2012,"1,6","4,9","0,0"
51,21.02.2012,"4,9","4,6","0,0"
52,22.02.2012,"6,2","5,7","0,6"
53,23.02.2012,"7,9",0,"0,3"
54,24.02.2012,"9,5",0,"1,4"
55,25.02.2012,"7,1","0,4","0,2"
56,26.02.2012,"6,1",0,"0,9"
57,27.02.2012,"7,2","0,5","0,1"
58,28.02.2012,"8,8",0,"1,5"
59,29.02.2012,"10,6",0,"0,0"
60,01.03.2012,"10,3",0,"0,1"
61,02.03.2012,9,0,"0,0"
62,03.03.2012,"9,4",0,"0,0"
63,04.03.2012,"9,5","1,1","11,3"
64,05.03.2012,"6,2","1,1","0,2"
65,06.03.2012,7,"4,1","0,0"
66,07.03.2012,"4,5",0,"12,1"
67,08.03.2012,"5,1",2,"3,5"
68,09.03.2012,"7,2","5,4","0,0"
69,10.03.2012,9,0,"0,4"
70,11.03.2012,"9,9","0,2","0,0"
71,12.03.2012,"7,2",0,"0,0"
72,13.03.2012,"8,3",0,"0,0"
73,14.03.2012,"8,2","4,1","0,0"
74,15.03.2012,"10,1","10,9","0,0"
75,16.03.2012,"13,1","10,7","0,0"
76,17.03.2012,"10,6","0,2","0,1"
77,18.03.2012,"9,2","0,1","1,3"
78,19.03.2012,"7,6","10,5","0,0"
79,20.03.2012,"8,2","9,6","0,0"
80,21.03.2012,"10,7",11,"0,0"
81,22.03.2012,"13,4","11,2","0,0"
82,23.03.2012,"13,8","11,1","0,0"
83,24.03.2012,"14,1","11,1","0,0"
84,25.03.2012,"13,8","11,8","0,0"
85,26.03.2012,"12,8","11,9","0,0"
86,27.03.2012,"12,8","11,4","0,0"
87,28.03.2012,"13,5","11,6","0,0"
88,29.03.2012,"9,8","2,8","0,4"
89,30.03.2012,"9,2","1,2","0,5"
90,31.03.2012,"7,7","0,9","0,0"
91,01.04.2012,"5,8","9,4","0,0"
92,02.04.2012,"7,5","3,7","0,0"
93,03.04.2012,"11,2","5,8","0,2"
94,04.04.2012,"9,8","1,3","0,0"
95,05.04.2012,"7,1",0,"0,0"
96,06.04.2012,"7,7","6,1","2,9"
97,07.04.2012,"5,6","1,4","0,1"
98,08.04.2012,"6,4","10,2","9,2"
99,09.04.2012,"8,2",0,"10,7"
100,10.04.2012,"10,8",0,"4,2"
101,11.04.2012,"10,2","8,6","0,7"
102,12.04.2012,"8,7","3,3","2,4"
103,13.04.2012,"7,9","5,8","0,0"
104,14.04.2012,"8,8","3,6","4,4"
105,15.04.2012,"7,2","0,2","0,0"
106,16.04.2012,"6,2","6,9","0,0"
107,17.04.2012,"6,8","9,9","1,3"
108,18.04.2012,9,5,"4,0"
109,19.04.2012,"10,6","4,6","0,0"
110,20.04.2012,"10,2","6,8","1,7"
111,21.04.2012,"8,8","4,8","2,0"
112,22.04.2012,"8,4","4,3","3,2"
113,23.04.2012,"9,7","6,7","0,8"
114,24.04.2012,"9,1","2,6","5,1"
115,25.04.2012,"10,5","5,5","7,3"
116,26.04.2012,"12,5","1,4","1,0"
117,27.04.2012,"13,1","2,9","4,1"
118,28.04.2012,"17,7","6,3","0,0"
119,29.04.2012,"16,5","4,2","0,0"
120,30.04.2012,"17,7","9,1","4,1"
121,01.05.2012,"16,9","4,9","0,0"
122,02.05.2012,"15,4","1,8","3,8"
123,03.05.2012,"13,9","1,8","0,0"
124,04.05.2012,"15,6","9,6","6,3"
125,05.05.2012,"8,8",0,"4,9"
126,06.05.2012,"8,1",0,"1,0"
127,07.05.2012,"10,1","6,2","0,0"
128,08.05.2012,"15,8","7,3","0,6"
129,09.05.2012,"16,9",2,"0,5"
130,10.05.2012,"20,6","1,6","0,2"
131,11.05.2012,"17,6","0,7","2,5"
132,12.05.2012,"10,2","7,2","0,0"
133,13.05.2012,"9,3","12,4","0,0"
134,14.05.2012,"13,1","14,7","0,3"
135,15.05.2012,"9,4","2,9","9,4"
136,16.05.2012,"9,1","7,9","0,3"
137,17.05.2012,11,"12,1","0,0"
138,18.05.2012,15,"4,2","0,0"
139,19.05.2012,"17,8","10,2","0,0"
140,20.05.2012,"18,5","6,7","25,8"
141,21.05.2012,"19,7","7,9","0,0"
142,22.05.2012,"21,6","12,7","0,0"
143,23.05.2012,20,"7,4","0,0"
144,24.05.2012,"22,9","14,7","0,0"
145,25.05.2012,"20,3","15,5","0,0"
146,26.05.2012,"20,6","15,5","0,0"
147,27.05.2012,"20,5","12,2","0,0"
148,28.05.2012,"21,1","14,9","0,0"
149,29.05.2012,"18,2","12,7","0,0"
150,30.05.2012,"18,6",13,"0,0"
151,31.05.2012,"17,7","2,6","2,8"
152,01.06.2012,14,"1,8","0,0"
153,02.06.2012,14,"14,1","0,7"
154,03.06.2012,"10,3",0,"14,0"
155,04.06.2012,"11,1","0,9","6,9"
156,05.06.2012,"12,3","11,5","1,0"
157,06.06.2012,"13,9","3,2","9,1"
158,07.06.2012,"18,3",4,"0,4"
159,08.06.2012,"17,6","9,3","1,1"
160,09.06.2012,"14,8","9,4","0,0"
161,10.06.2012,"16,2","13,3","0,0"
162,11.06.2012,"15,9","3,1","4,1"
163,12.06.2012,15,"2,6","0,4"
164,13.06.2012,"13,4","1,6","0,0"
165,14.06.2012,"14,8","4,8","0,0"
166,15.06.2012,"16,4",2,"13,8"
167,16.06.2012,16,"0,8","1,2"
168,17.06.2012,"17,3","13,2","0,0"
169,18.06.2012,"17,6","5,2","0,0"
170,19.06.2012,"17,8","2,7","0,6"
171,20.06.2012,"18,2","2,5","1,0"
172,21.06.2012,"19,4","3,7","1,3"
173,22.06.2012,"17,1","7,5","0,0"
174,23.06.2012,"17,3","7,8","0,0"
175,24.06.2012,"15,4","0,3","6,7"
176,25.06.2012,"15,6","3,6","0,5"
177,26.06.2012,"16,6","10,5","0,0"
178,27.06.2012,"18,8","1,6","0,2"
179,28.06.2012,"23,7","6,9","3,3"
180,29.06.2012,"20,1","3,2","3,0"
181,30.06.2012,"20,8",11,0
182,01.07.2012,"18,4","10,6",0
183,02.07.2012,"17,2","9,1",0
184,03.07.2012,"20,1","8,7",0
185,04.07.2012,"23,1",12,0
186,05.07.2012,"22,6",7,"7,1"
187,06.07.2012,"20,8","4,6","0,3"
188,07.07.2012,"20,2","9,9","0,3"
189,08.07.2012,"18,4","3,1","16,8"
190,09.07.2012,"18,5","7,7",0
191,10.07.2012,"18,7","5,5",0
192,11.07.2012,"15,3",3,"6,9"
193,12.07.2012,"15,8","6,3","7,9"
194,13.07.2012,"15,4","1,4","5,2"
195,14.07.2012,"14,6","2,3","14,5"
196,15.07.2012,"15,3",2,0
197,16.07.2012,"14,6","1,4",7
198,17.07.2012,17,"2,1","3,1"
199,18.07.2012,"19,6","5,1",0
200,19.07.2012,"17,1","3,1","0,2"
201,20.07.2012,"16,1","1,2",0
202,21.07.2012,"15,4","6,8",0
203,22.07.2012,"15,8","12,3",0
204,23.07.2012,"19,4","15,2",0
205,24.07.2012,"21,9","14,9",0
206,25.07.2012,"23,9","14,2",0
207,26.07.2012,"24,5","12,8",0
208,27.07.2012,"23,8","9,1","11,8"
209,28.07.2012,"19,6","0,9","0,2"
210,29.07.2012,18,"9,9","4,5"
211,30.07.2012,"15,7","6,2","0,1"
212,31.07.2012,"17,4","4,4",0
213,01.08.2012,"22,5",13,0
214,02.08.2012,"21,1","3,7",0
215,03.08.2012,20,"10,7",0
216,04.08.2012,"19,9","7,2","1,3"
217,05.08.2012,"19,8","5,2","5,5"
218,06.08.2012,"18,4","7,1","0,2"
219,07.08.2012,"17,5","5,3",0
