,Datum,Tmit,Sges,Rges
91,01.04.2012,"5,2","10,4","0,0"
92,02.04.2012,"6,4","2,6","0,0"
93,03.04.2012,10,"6,7","0,5"
94,04.04.2012,"9,2","1,4","0,0"
95,05.04.2012,"6,8",0,"0,0"
96,06.04.2012,"7,4","5,2","2,4"
97,07.04.2012,"5,4","1,8","0,1"
98,08.04.2012,"5,9","9,6","9,4"
99,09.04.2012,"7,9",0,"11,3"
100,10.04.2012,"10,6","0,1","3,7"
101,11.04.2012,"9,6","8,4","0,1"
102,12.04.2012,"8,1","3,8","0,4"
103,13.04.2012,"7,2","6,2","0,0"
104,14.04.2012,"8,2","5,4","3,8"
105,15.04.2012,7,"0,4","0,0"
106,16.04.2012,"5,8","8,5","0,0"
107,17.04.2012,6,"9,7","1,3"
108,18.04.2012,"8,7","5,1","2,0"
109,19.04.2012,"10,1","5,4","0,3"
110,20.04.2012,"9,4","6,7","1,2"
111,21.04.2012,"8,4","5,1","3,4"
112,22.04.2012,"8,1","4,4","0,7"
113,23.04.2012,"9,1","5,8","1,4"
114,24.04.2012,"8,7","2,6","5,0"
115,25.04.2012,"10,2","5,4","7,1"
116,26.04.2012,12,-,-
117,27.04.2012,"12,8","3,1","4,1"
118,28.04.2012,"17,7","6,8","0,0"
119,29.04.2012,"16,1",4,"0,0"
120,30.04.2012,"17,1","8,8","2,4"
121,01.05.2012,"16,8","6,5","0,0"
122,02.05.2012,"14,9","1,3","4,3"
123,03.05.2012,13,"1,7","0,0"
124,04.05.2012,"14,9","8,5","5,5"
125,05.05.2012,"8,6",0,"4,0"
126,06.05.2012,"7,9",0,"1,2"
127,07.05.2012,"9,7",7,"0,0"
128,08.05.2012,"15,3","7,4","0,1"
129,09.05.2012,"16,3","2,4","0,7"
130,10.05.2012,"20,4","1,8","0,1"
131,11.05.2012,"17,1",1,"1,5"
132,12.05.2012,"9,6","5,6","0,1"
133,13.05.2012,"8,2","11,8","0,0"
134,14.05.2012,"11,9","14,7","0,8"
135,15.05.2012,"8,9","2,6","11,6"
136,16.05.2012,"8,4","7,9","0,2"
137,17.05.2012,"10,2","11,8","0,0"
138,18.05.2012,"14,4","3,5","0,1"
139,19.05.2012,"16,9","9,7","0,0"
140,20.05.2012,"18,5","7,6","0,0"
141,21.05.2012,"19,1","6,9","0,0"
142,22.05.2012,"20,5","8,6","0,0"
143,23.05.2012,"19,1",7,"0,0"
144,24.05.2012,"22,4","14,6","0,0"
145,25.05.2012,"19,5","15,4","0,0"
146,26.05.2012,"19,6","15,4","0,0"
147,27.05.2012,"19,4","12,3","0,1"
148,28.05.2012,20,"14,4","0,0"
149,29.05.2012,"18,1","12,5","0,0"
150,30.05.2012,"18,1","12,2","0,0"
151,31.05.2012,"16,9","1,8","1,4"
152,01.06.2012,"13,9","2,1","0,0"
153,02.06.2012,"13,5","13,4","0,5"
154,03.06.2012,"10,2",0,"11,9"
155,04.06.2012,"11,1","1,4","5,8"
156,05.06.2012,"11,9",10,"1,0"
157,06.06.2012,"13,3","2,2","13,5"
158,07.06.2012,"18,3","4,6","0,2"
159,08.06.2012,"17,1",9,"1,0"
160,09.06.2012,"14,2","9,2","0,0"
161,10.06.2012,"14,9","12,4","0,0"
162,11.06.2012,"15,4","3,7","6,6"
163,12.06.2012,"14,8","2,7","0,2"
164,13.06.2012,"13,2","0,4","0,0"
165,14.06.2012,"14,3","4,6","0,0"
166,15.06.2012,16,"1,4","10,8"
167,16.06.2012,"15,7","0,8","0,9"
168,17.06.2012,"16,9","13,5","0,0"
169,18.06.2012,"16,9",5,"0,0"
170,19.06.2012,"17,3","2,6","0,7"
171,20.06.2012,"17,6","2,9","2,7"
172,21.06.2012,"18,9","3,3","2,2"
173,22.06.2012,"16,2",7,"0,0"
174,23.06.2012,"15,9","7,4","0,0"
175,24.06.2012,"14,6","0,6","4,4"
176,25.06.2012,"15,2","3,4","0,0"
177,26.06.2012,"15,6","10,3","0,0"
178,27.06.2012,"18,2","1,1","0,7"
179,28.06.2012,"23,2","6,7","2,3"
180,29.06.2012,"19,7","3,1","0,7"
181,30.06.2012,"19,9","10,4","0,1"
182,01.07.2012,"17,2","9,3",0
183,02.07.2012,"15,7","9,7",0
184,03.07.2012,19,8,0
185,04.07.2012,"22,3","11,2",0
186,05.07.2012,22,"7,6","7,7"
187,06.07.2012,"19,7","3,5",1
188,07.07.2012,"18,9","9,3","2,2"
189,08.07.2012,"17,7","2,9","12,3"
190,09.07.2012,"17,9","7,7","1,9"
191,10.07.2012,"17,8","4,6","0,1"
192,11.07.2012,15,"2,7","5,7"
193,12.07.2012,15,"5,2","9,9"
194,13.07.2012,"15,2","1,1","6,3"
195,14.07.2012,"14,7","2,7","13,5"
