x;y;Latitude;Longitude;Street
25.07.1979;30;51.206.063;6.860.008;Bahnhofstraﬂe
19.09.1979;29,92;;;
20.11.1979;29,78;;;
22.01.1980;29,89;;;
26.03.1980;30,28;;;
20.05.1980;30,35;;;
29.07.1980;30,59;;;
19.09.1980;30,5;;;
21.11.1980;30,28;;;
27.01.1981;30,69;;;
24.03.1981;31,16;;;
22.05.1981;31,08;;;
21.07.1981;31,23;;;
29.09.1981;30,95;;;
27.11.1981;31,09;;;
29.01.1982;31,47;;;
30.03.1982;31,53;;;
26.05.1982;31,45;;;
07.07.1982;31,41;;;
28.09.1982;31,06;;;
14.12.1982;30,83;;;
14.01.1983;30,88;;;
17.03.1983;31,12;;;
05.05.1983;31,31;;;
30.06.1983;31,5;;;
22.09.1983;31,14;;;
08.12.1983;30,74;;;
23.02.1984;31,34;;;
03.05.1984;30,97;;;
05.07.1984;31,47;;;
23.08.1984;31,27;;;
29.10.1984;31,39;;;
20.12.1984;31,38;;;
27.02.1985;31,46;;;
01.04.1985;31,45;;;
03.06.1985;31,59;;;
05.08.1985;31,63;;;
07.10.1985;31,39;;;
02.12.1985;31,15;;;
03.02.1986;31,66;;;
25.02.1986;31,51;;;
07.04.1986;31,59;;;
22.03.1988;31,77;;;
07.06.1988;31,78;;;
03.10.1988;31,44;;;
05.12.1988;31,25;;;
06.02.1989;31,44;;;
03.04.1989;31,56;;;
05.06.1989;31,5;;;
07.08.1989;31,23;;;
02.10.1989;30,96;;;
04.12.1989;30,75;;;
05.02.1990;30,7;;;
02.04.1990;30,78;;;
04.06.1990;30,64;;;
06.08.1990;30,46;;;
01.10.1990;30,3;;;
03.12.1990;30,09;;;
04.02.1991;30,14;;;
01.04.1991;30,08;;;
03.06.1991;29,99;;;
05.08.1991;29,91;;;
07.10.1991;29,74;;;
02.12.1991;29,65;;;
03.02.1992;29,66;;;
06.04.1992;29,72;;;
01.06.1992;29,8;;;
03.08.1992;29,71;;;
05.10.1992;29,63;;;
07.12.1992;29,87;;;
01.02.1993;30,05;;;
05.04.1993;30,08;;;
07.06.1993;30,03;;;
02.08.1993;29,98;;;
06.10.1993;30,04;;;
07.12.1993;30,06;;;
07.02.1994;31,04;;;
12.04.1994;31,46;;;
13.06.1994;31,44;;;
01.08.1994;31,29;;;
12.10.1994;31,1;;;
12.12.1994;31,08;;;
06.02.1995;31,86;;;
15.03.1995;32,05;;;
11.05.1995;31,96;;;
08.08.1995;31,61;;;
09.10.1995;31,42;;;
20.11.1995;31,26;;;
11.01.1996;31,07;;;
06.03.1996;31,01;;;
03.04.1996;30,88;;;
07.08.1996;30,57;;;
12.06.1997;30,8;;;
08.08.1997;30,76;;;
06.10.1997;30,61;;;
06.04.1998;30,67;;;
17.09.1998;30,83;;;
04.11.1998;31,33;;;
09.11.1998;31,51;;;
17.11.1998;31,64;;;
23.11.1998;31,68;;;
30.11.1998;31,67;;;
15.03.1999;32,21;;;
01.04.1999;32,23;;;
14.04.1999;32,33;;;
20.04.1999;32,2;;;
21.04.1999;32,23;;;
22.04.1999;32,21;;;
23.04.1999;32,19;;;
24.04.1999;32,19;;;
25.04.1999;32,18;;;
26.04.1999;32,19;;;
27.04.1999;32,17;;;
28.04.1999;32,16;;;
29.04.1999;32,16;;;
30.04.1999;32,17;;;
01.05.1999;32,15;;;
02.05.1999;32,14;;;
03.05.1999;32,14;;;
04.05.1999;32,13;;;
05.05.1999;32,14;;;
06.05.1999;32,13;;;
07.05.1999;32,13;;;
08.05.1999;32,15;;;
09.05.1999;32,12;;;
10.05.1999;32,13;;;
11.05.1999;32,16;;;
12.05.1999;32,16;;;
13.05.1999;32,15;;;
14.05.1999;32,15;;;
15.05.1999;32,13;;;
16.05.1999;32,12;;;
17.05.1999;32,12;;;
18.05.1999;32,12;;;
19.05.1999;32,12;;;
20.05.1999;32,12;;;
21.05.1999;32,11;;;
22.05.1999;32,11;;;
23.05.1999;32,1;;;
24.05.1999;32,09;;;
25.05.1999;32,09;;;
26.05.1999;32,09;;;
27.05.1999;32,08;;;
28.05.1999;32,08;;;
29.05.1999;32,07;;;
30.05.1999;32,08;;;
31.05.1999;32,06;;;
01.06.1999;32,05;;;
02.06.1999;32,07;;;
03.06.1999;32,05;;;
04.06.1999;32,06;;;
05.06.1999;32,08;;;
06.06.1999;32,08;;;
07.06.1999;32,06;;;
08.06.1999;32,04;;;
09.06.1999;32,03;;;
10.06.1999;32,03;;;
11.06.1999;32,03;;;
12.06.1999;32,02;;;
13.06.1999;32,02;;;
14.06.1999;32,01;;;
15.06.1999;32;;;
16.06.1999;32;;;
17.06.1999;32;;;
18.06.1999;31,99;;;
19.06.1999;31,99;;;
20.06.1999;32;;;
21.06.1999;32;;;
22.06.1999;31,98;;;
23.06.1999;31,98;;;
24.06.1999;31,98;;;
25.06.1999;31,97;;;
26.06.1999;31,98;;;
27.06.1999;31,99;;;
28.06.1999;31,97;;;
29.06.1999;31,96;;;
30.06.1999;31,96;;;
01.07.1999;31,98;;;
02.07.1999;31,98;;;
03.07.1999;31,99;;;
04.07.1999;31,97;;;
05.07.1999;31,98;;;
06.07.1999;31,98;;;
07.07.1999;31,96;;;
08.07.1999;31,95;;;
09.07.1999;31,95;;;
10.07.1999;31,95;;;
11.07.1999;31,95;;;
12.07.1999;31,94;;;
13.07.1999;31,95;;;
14.07.1999;31,94;;;
15.07.1999;31,93;;;
16.07.1999;31,92;;;
17.07.1999;31,91;;;
18.07.1999;31,91;;;
19.07.1999;31,91;;;
20.07.1999;31,9;;;
21.07.1999;31,89;;;
22.07.1999;31,89;;;
23.07.1999;31,88;;;
24.07.1999;31,87;;;
25.07.1999;31,87;;;
26.07.1999;31,87;;;
27.07.1999;31,86;;;
28.07.1999;31,86;;;
29.07.1999;31,85;;;
30.07.1999;31,85;;;
31.07.1999;31,84;;;
01.08.1999;31,84;;;
02.08.1999;31,83;;;
03.08.1999;31,83;;;
04.08.1999;31,82;;;
05.08.1999;31,82;;;
06.08.1999;31,82;;;
07.08.1999;31,83;;;
08.08.1999;31,83;;;
09.08.1999;31,81;;;
10.08.1999;31,81;;;
11.08.1999;31,79;;;
12.08.1999;31,79;;;
13.08.1999;31,79;;;
14.08.1999;31,8;;;
15.08.1999;31,8;;;
16.08.1999;31,8;;;
17.08.1999;31,76;;;
18.08.1999;31,77;;;
19.08.1999;31,77;;;
20.08.1999;31,75;;;
21.08.1999;31,74;;;
22.08.1999;31,73;;;
23.08.1999;31,73;;;
24.08.1999;31,72;;;
25.08.1999;31,72;;;
26.08.1999;31,72;;;
27.08.1999;31,71;;;
28.08.1999;31,7;;;
29.08.1999;31,7;;;
30.08.1999;31,69;;;
31.08.1999;31,69;;;
01.09.1999;31,68;;;
02.09.1999;31,67;;;
03.09.1999;31,67;;;
04.09.1999;31,67;;;
05.09.1999;31,66;;;
06.09.1999;31,66;;;
07.09.1999;31,66;;;
08.09.1999;31,65;;;
09.09.1999;31,64;;;
10.09.1999;31,64;;;
11.09.1999;31,64;;;
12.09.1999;31,64;;;
13.09.1999;31,63;;;
14.09.1999;31,63;;;
15.09.1999;31,62;;;
16.09.1999;31,61;;;
17.09.1999;31,61;;;
18.09.1999;31,61;;;
19.09.1999;31,61;;;
20.09.1999;31,62;;;
21.09.1999;31,6;;;
22.09.1999;31,59;;;
23.09.1999;31,59;;;
24.09.1999;31,58;;;
25.09.1999;31,58;;;
26.09.1999;31,59;;;
27.09.1999;31,58;;;
28.09.1999;31,58;;;
29.09.1999;31,57;;;
30.09.1999;31,58;;;
01.10.1999;31,59;;;
02.10.1999;31,6;;;
03.10.1999;31,6;;;
04.10.1999;31,6;;;
05.10.1999;31,57;;;
06.10.1999;31,57;;;
07.10.1999;31,56;;;
08.10.1999;31,57;;;
09.10.1999;31,57;;;
10.10.1999;31,56;;;
11.10.1999;31,56;;;
12.10.1999;31,55;;;
13.10.1999;31,54;;;
14.10.1999;31,54;;;
15.10.1999;31,54;;;
16.10.1999;31,53;;;
17.10.1999;31,53;;;
18.10.1999;31,53;;;
19.10.1999;31,53;;;
20.10.1999;31,53;;;
21.10.1999;31,53;;;
22.10.1999;31,52;;;
23.10.1999;31,52;;;
24.10.1999;31,52;;;
25.10.1999;31,51;;;
26.10.1999;31,5;;;
27.10.1999;31,49;;;
28.10.1999;31,48;;;
29.10.1999;31,48;;;
30.10.1999;31,5;;;
31.10.1999;31,5;;;
01.11.1999;31,48;;;
02.11.1999;31,48;;;
03.11.1999;31,47;;;
04.11.1999;31,47;;;
05.11.1999;31,48;;;
06.11.1999;31,49;;;
07.11.1999;31,46;;;
08.11.1999;31,45;;;
09.11.1999;31,44;;;
10.11.1999;31,44;;;
11.11.1999;31,44;;;
12.11.1999;31,43;;;
13.11.1999;31,44;;;
14.11.1999;31,44;;;
15.11.1999;31,43;;;
16.11.1999;31,43;;;
17.11.1999;31,44;;;
18.11.1999;31,44;;;
19.11.1999;31,43;;;
20.11.1999;31,44;;;
21.11.1999;31,44;;;
22.11.1999;31,45;;;
23.11.1999;31,46;;;
24.11.1999;31,47;;;
25.11.1999;31,47;;;
26.11.1999;31,47;;;
27.11.1999;31,48;;;
28.11.1999;31,46;;;
29.11.1999;31,46;;;
30.11.1999;31,46;;;
01.12.1999;31,47;;;
02.12.1999;31,46;;;
03.12.1999;31,46;;;
04.12.1999;31,46;;;
05.12.1999;31,45;;;
06.12.1999;31,45;;;
07.12.1999;31,45;;;
08.12.1999;31,44;;;
09.12.1999;31,46;;;
10.12.1999;31,45;;;
11.12.1999;31,45;;;
12.12.1999;31,46;;;
13.12.1999;31,46;;;
14.12.1999;31,5;;;
15.12.1999;31,5;;;
16.12.1999;31,49;;;
17.12.1999;31,5;;;
18.12.1999;31,51;;;
19.12.1999;31,51;;;
20.12.1999;31,5;;;
21.12.1999;31,49;;;
22.12.1999;31,49;;;
23.12.1999;31,51;;;
24.12.1999;31,51;;;
25.12.1999;31,53;;;
26.12.1999;31,54;;;
27.12.1999;31,56;;;
28.12.1999;31,58;;;
29.12.1999;31,6;;;
30.12.1999;31,61;;;
31.12.1999;31,63;;;
01.01.2000;31,65;;;
02.01.2000;31,66;;;
03.01.2000;31,67;;;
04.01.2000;31,69;;;
05.01.2000;31,7;;;
06.01.2000;31,72;;;
07.01.2000;31,73;;;
08.01.2000;31,74;;;
09.01.2000;31,75;;;
10.01.2000;31,75;;;
11.01.2000;31,75;;;
12.01.2000;31,75;;;
13.01.2000;31,77;;;
14.01.2000;31,77;;;
15.01.2000;31,75;;;
16.01.2000;31,75;;;
17.01.2000;31,76;;;
18.01.2000;31,77;;;
19.01.2000;31,76;;;
20.01.2000;31,75;;;
21.01.2000;31,76;;;
22.01.2000;31,77;;;
23.01.2000;31,76;;;
24.01.2000;31,74;;;
25.01.2000;31,73;;;
26.01.2000;31,73;;;
27.01.2000;31,73;;;
28.01.2000;31,74;;;
29.01.2000;31,77;;;
30.01.2000;31,77;;;
31.01.2000;31,78;;;
01.02.2000;31,78;;;
02.02.2000;31,8;;;
03.02.2000;31,79;;;
04.02.2000;31,81;;;
05.02.2000;31,82;;;
06.02.2000;31,83;;;
07.02.2000;31,84;;;
08.02.2000;31,85;;;
09.02.2000;31,84;;;
10.02.2000;31,84;;;
11.02.2000;31,84;;;
12.02.2000;31,86;;;
13.02.2000;31,87;;;
14.02.2000;31,86;;;
15.02.2000;31,87;;;
16.02.2000;31,89;;;
17.02.2000;31,9;;;
18.02.2000;31,91;;;
19.02.2000;31,92;;;
20.02.2000;31,9;;;
21.02.2000;31,92;;;
22.02.2000;31,91;;;
23.02.2000;31,92;;;
24.02.2000;31,93;;;
25.02.2000;31,94;;;
26.02.2000;31,97;;;
27.02.2000;31,99;;;
28.02.2000;32,01;;;
29.02.2000;32,02;;;
01.03.2000;32,04;;;
02.03.2000;32,03;;;
03.03.2000;32,07;;;
04.03.2000;32,06;;;
05.03.2000;32,07;;;
06.03.2000;32,08;;;
07.03.2000;32,1;;;
08.03.2000;32,11;;;
09.03.2000;32,12;;;
10.03.2000;32,12;;;
11.03.2000;32,13;;;
12.03.2000;32,12;;;
13.03.2000;32,13;;;
14.03.2000;32,12;;;
15.03.2000;32,1;;;
16.03.2000;32,11;;;
17.03.2000;32,11;;;
