x;y;Latitude;Longitude;Street
28.01.1975;37,45;51.218.968;6.848.527;Gubener Straße
27.02.1975;37,52;;;
27.03.1975;37,52;;;
11.04.1975;37,66;;;
12.06.1975;37,38;;;
29.07.1975;37,09;;;
19.08.1975;36,97;;;
10.09.1975;36,78;;;
21.10.1975;36,56;;;
18.11.1975;36,05;;;
16.12.1975;36,31;;;
20.01.1976;36,59;;;
17.02.1976;36,77;;;
17.03.1976;36,69;;;
22.04.1976;36,45;;;
18.05.1976;36,27;;;
22.06.1976;36,09;;;
03.08.1976;36,02;;;
14.09.1976;35,96;;;
18.10.1976;35,88;;;
18.11.1976;35,84;;;
22.12.1976;35,78;;;
19.01.1977;35,8;;;
04.03.1977;35,89;;;
19.04.1977;35,99;;;
24.05.1977;36,05;;;
21.06.1977;36,04;;;
16.08.1977;36,02;;;
20.09.1977;36,01;;;
18.10.1977;35,96;;;
23.11.1977;35,94;;;
23.12.1977;35,97;;;
24.01.1978;36,04;;;
28.02.1978;36,09;;;
28.03.1978;36,13;;;
25.04.1978;36,3;;;
13.02.1979;36,01;;;
13.03.1979;36,13;;;
11.05.1979;36,48;;;
12.06.1979;36,63;;;
27.07.1979;36,81;;;
28.08.1979;36,6;;;
25.09.1979;36,53;;;
30.10.1979;36,39;;;
27.11.1979;36,26;;;
28.12.1979;36,34;;;
16.01.1980;36,4;;;
20.02.1980;36,53;;;
18.03.1980;36,5;;;
16.04.1980;36,52;;;
13.05.1980;36,4;;;
30.07.1980;36,35;;;
29.08.1980;36,26;;;
30.09.1980;36,17;;;
05.11.1980;36,08;;;
09.12.1980;36,11;;;
09.01.1981;36,28;;;
11.02.1981;36,6;;;
10.03.1981;36,65;;;
08.05.1981;36,78;;;
16.06.1981;36,75;;;
17.07.1981;36,8;;;
14.08.1981;36,68;;;
18.09.1981;36,62;;;
23.10.1981;36,8;;;
17.11.1981;36,84;;;
06.01.1982;36,98;;;
10.02.1982;37,22;;;
19.03.1982;37,23;;;
25.05.1982;37,1;;;
29.06.1982;36,91;;;
08.09.1982;36,86;;;
06.10.1982;36,72;;;
17.12.1982;36,63;;;
14.01.1983;36,74;;;
05.05.1983;37,33;;;
30.06.1983;37,39;;;
22.09.1983;36,98;;;
08.12.1983;36,33;;;
23.02.1984;36,62;;;
03.05.1984;36,5;;;
05.07.1984;36,73;;;
23.08.1984;36,62;;;
29.10.1984;36,43;;;
20.12.1984;36,55;;;
27.02.1985;36,79;;;
01.04.1985;36,74;;;
03.06.1985;36,72;;;
05.08.1985;36,91;;;
26.08.1985;36,95;;;
07.10.1985;36,64;;;
02.12.1985;36,45;;;
03.02.1986;36,69;;;
07.04.1986;36,03;;;
10.06.1986;36,22;;;
04.08.1986;36,44;;;
06.10.1986;36,32;;;
03.12.1986;36,15;;;
30.01.1987;36,22;;;
03.04.1987;36,47;;;
01.06.1987;36,47;;;
06.08.1987;36,65;;;
06.10.1987;36,68;;;
09.12.1987;36,81;;;
03.02.1988;37,2;;;
29.03.1988;37,9;;;
10.06.1988;37,39;;;
03.08.1988;37,33;;;
03.10.1988;37,25;;;
05.12.1988;37,12;;;
06.02.1989;37,49;;;
03.04.1989;37,76;;;
05.06.1989;38,05;;;
07.08.1989;37,89;;;
02.10.1989;37,72;;;
04.12.1989;37,61;;;
05.02.1990;37,86;;;
02.04.1990;38,11;;;
04.06.1990;37,86;;;
06.08.1990;37,93;;;
01.10.1990;37,79;;;
03.12.1990;37,76;;;
04.02.1991;37,96;;;
01.04.1991;37,86;;;
03.06.1991;37,72;;;
05.08.1991;37,56;;;
07.10.1991;37,46;;;
02.12.1991;37,33;;;
03.02.1992;37,3;;;
06.04.1992;37,45;;;
01.06.1992;37,51;;;
03.08.1992;37,51;;;
05.10.1992;37,43;;;
07.12.1992;37,73;;;
01.02.1993;38,07;;;
05.04.1993;37,95;;;
07.06.1993;37,93;;;
02.08.1993;37,77;;;
30.09.1993;37,87;;;
02.12.1993;38,04;;;
17.01.1994;38,6;;;
21.01.1994;38,64;;;
03.02.1994;38,86;;;
11.04.1994;38,93;;;
01.06.1994;38,52;;;
28.07.1994;38,36;;;
11.10.1994;38,24;;;
01.12.1994;38,26;;;
08.02.1995;38,98;;;
01.03.1995;39,13;;;
15.03.1995;38,98;;;
13.06.1995;38,58;;;
07.08.1995;38,25;;;
10.10.1995;38,12;;;
21.11.1995;38,04;;;
11.01.1996;38,13;;;
07.03.1996;38,18;;;
07.06.1996;37,97;;;
13.08.1996;37,9;;;
10.10.1996;37,95;;;
04.12.1996;38,21;;;
11.02.1997;38,14;;;
08.04.1997;38,21;;;
11.06.1997;38,36;;;
05.08.1997;38,22;;;
07.10.1997;38,03;;;
04.12.1997;37,83;;;
04.02.1998;37,94;;;
01.04.1998;38,01;;;
05.08.1998;38,13;;;
07.10.1998;38,14;;;
04.11.1998;38,66;;;
09.11.1998;38,83;;;
08.12.1998;38,48;;;
02.02.1999;38,6;;;
13.04.1999;38,72;;;
08.06.1999;38,38;;;
03.08.1999;38,16;;;
07.10.1999;38,08;;;
16.11.1999;38,04;;;
09.12.1999;38,07;;;
14.12.1999;38,16;;;
09.02.2000;38,33;;;
03.04.2000;38,58;;;
07.06.2000;38,3;;;
18.08.2000;38,31;;;
12.10.2000;38,36;;;
05.12.2000;38,42;;;
21.02.2001;38,67;;;
05.04.2001;38,6;;;
21.06.2001;38,47;;;
08.10.2001;38,38;;;
19.12.2001;38,54;;;
08.02.2002;38,69;;;
07.03.2002;38,87;;;
08.03.2002;38,85;;;
09.03.2002;38,91;;;
10.03.2002;38,86;;;
11.03.2002;38,85;;;
12.03.2002;38,83;;;
13.03.2002;38,83;;;
14.03.2002;38,82;;;
15.03.2002;38,83;;;
16.03.2002;38,79;;;
17.03.2002;38,81;;;
18.03.2002;38,81;;;
19.03.2002;38,84;;;
20.03.2002;38,82;;;
21.03.2002;38,91;;;
22.03.2002;38,93;;;
23.03.2002;38,88;;;
24.03.2002;38,85;;;
25.03.2002;38,86;;;
26.03.2002;38,86;;;
27.03.2002;38,83;;;
28.03.2002;38,82;;;
29.03.2002;38,83;;;
30.03.2002;38,82;;;
31.03.2002;38,81;;;
01.04.2002;38,8;;;
02.04.2002;38,78;;;
03.04.2002;38,79;;;
04.04.2002;38,77;;;
05.04.2002;38,75;;;
06.04.2002;38,71;;;
07.04.2002;38,69;;;
08.04.2002;38,69;;;
09.04.2002;38,69;;;
10.04.2002;38,68;;;
11.04.2002;38,69;;;
12.04.2002;38,7;;;
13.04.2002;38,67;;;
14.04.2002;38,64;;;
15.04.2002;38,63;;;
16.04.2002;38,64;;;
17.04.2002;38,64;;;
18.04.2002;38,63;;;
19.04.2002;38,65;;;
20.04.2002;38,62;;;
21.04.2002;38,6;;;
22.04.2002;38,62;;;
23.04.2002;38,62;;;
24.04.2002;38,62;;;
25.04.2002;38,63;;;
26.04.2002;38,65;;;
27.04.2002;38,64;;;
28.04.2002;38,69;;;
29.04.2002;38,7;;;
30.04.2002;38,68;;;
01.05.2002;38,7;;;
02.05.2002;38,68;;;
03.05.2002;38,65;;;
04.05.2002;38,64;;;
05.05.2002;38,81;;;
06.05.2002;38,8;;;
07.05.2002;38,79;;;
08.05.2002;38,81;;;
09.05.2002;38,81;;;
10.05.2002;38,79;;;
11.05.2002;38,77;;;
12.05.2002;38,74;;;
13.05.2002;38,71;;;
14.05.2002;38,7;;;
15.05.2002;38,66;;;
16.05.2002;38,67;;;
17.05.2002;38,69;;;
18.05.2002;38,67;;;
19.05.2002;38,64;;;
20.05.2002;38,65;;;
21.05.2002;38,67;;;
22.05.2002;38,67;;;
23.05.2002;38,63;;;
24.05.2002;38,62;;;
25.05.2002;38,61;;;
26.05.2002;38,62;;;
27.05.2002;38,6;;;
28.05.2002;38,59;;;
29.05.2002;38,57;;;
30.05.2002;38,54;;;
31.05.2002;38,56;;;
01.06.2002;38,55;;;
02.06.2002;38,56;;;
03.06.2002;38,58;;;
04.06.2002;38,57;;;
05.06.2002;38,6;;;
06.06.2002;38,55;;;
07.06.2002;38,54;;;
08.06.2002;38,53;;;
09.06.2002;38,52;;;
10.06.2002;38,51;;;
11.06.2002;38,51;;;
12.06.2002;38,52;;;
13.06.2002;38,53;;;
14.06.2002;38,52;;;
15.06.2002;38,56;;;
16.06.2002;38,53;;;
17.06.2002;38,53;;;
18.06.2002;38,53;;;
19.06.2002;38,49;;;
20.06.2002;38,53;;;
21.06.2002;38,51;;;
22.06.2002;38,51;;;
23.06.2002;38,5;;;
24.06.2002;38,48;;;
25.06.2002;38,48;;;
26.06.2002;38,48;;;
27.06.2002;38,49;;;
28.06.2002;38,47;;;
29.06.2002;38,46;;;
30.06.2002;38,46;;;
01.07.2002;38,47;;;
02.07.2002;38,49;;;
03.07.2002;38,49;;;
04.07.2002;38,48;;;
05.07.2002;38,48;;;
06.07.2002;38,47;;;
07.07.2002;38,45;;;
08.07.2002;38,46;;;
09.07.2002;38,46;;;
10.07.2002;38,44;;;
11.07.2002;38,45;;;
12.07.2002;38,44;;;
13.07.2002;38,46;;;
14.07.2002;38,44;;;
15.07.2002;38,44;;;
16.07.2002;38,45;;;
17.07.2002;38,45;;;
18.07.2002;38,43;;;
19.07.2002;38,43;;;
20.07.2002;38,43;;;
21.07.2002;38,44;;;
22.07.2002;38,41;;;
23.07.2002;38,42;;;
24.07.2002;38,43;;;
25.07.2002;38,41;;;
26.07.2002;38,4;;;
27.07.2002;38,39;;;
28.07.2002;38,39;;;
29.07.2002;38,39;;;
30.07.2002;38,39;;;
31.07.2002;38,39;;;
