x;y;Latitude;Longitude;Street
08.01.1975;26,69;51.301.600;6.736.014;Kaiserswerther Mark
04.02.1975;27,34;;;
05.03.1975;24,66;;;
02.04.1975;25,61;;;
04.06.1975;25,25;;;
15.07.1975;25,67;;;
05.08.1975;25,08;;;
02.09.1975;25,55;;;
28.10.1975;24,21;;;
11.11.1975;23,78;;;
09.12.1975;25,04;;;
13.01.1976;24,63;;;
10.02.1976;24,34;;;
10.03.1976;24,15;;;
13.04.1976;23,85;;;
11.05.1976;23,57;;;
08.06.1976;24,49;;;
15.09.1976;23,46;;;
19.10.1976;23,58;;;
14.12.1976;25,26;;;
23.02.1977;28,37;;;
27.04.1977;25,44;;;
23.06.1977;25,05;;;
06.09.1977;24,91;;;
08.11.1977;24,99;;;
10.01.1978;25,35;;;
22.03.1978;26,43;;;
23.05.1978;25,65;;;
25.07.1978;25,76;;;
15.09.1978;23,66;;;
17.11.1978;22,97;;;
23.01.1979;23,91;;;
27.03.1979;26,74;;;
29.05.1979;25,45;;;
25.07.1979;24,39;;;
17.09.1979;23,76;;;
20.11.1979;25,47;;;
22.01.1980;24,64;;;
26.03.1980;24,55;;;
20.05.1980;25,02;;;
29.07.1980;25,73;;;
19.09.1980;24,57;;;
21.11.1980;25,18;;;
27.01.1981;25,7;;;
24.03.1981;26,72;;;
22.05.1981;25,03;;;
21.07.1981;24,95;;;
29.09.1981;25,06;;;
27.11.1981;25,33;;;
29.01.1982;26,79;;;
17.10.1982;27,11;;;
22.11.1982;26;;;
23.12.1982;27,93;;;
09.01.1983;27,43;;;
14.01.1983;26,63;;;
04.02.1983;27,98;;;
04.03.1983;26,96;;;
17.03.1983;25,45;;;
14.04.1983;30,27;;;
05.05.1983;26,51;;;
31.05.1983;30,44;;;
30.06.1983;25,83;;;
15.07.1983;25,23;;;
09.08.1983;24,85;;;
22.09.1983;24,02;;;
15.10.1983;24,05;;;
15.11.1983;23,51;;;
08.12.1983;24,39;;;
29.12.1983;25,44;;;
19.01.1984;27,33;;;
11.02.1984;29,49;;;
23.02.1984;25,65;;;
31.03.1984;25,17;;;
06.04.1984;26,21;;;
03.05.1984;24,83;;;
31.05.1984;26,83;;;
03.06.1984;27,54;;;
05.06.1984;27,22;;;
05.07.1984;25,39;;;
19.07.1984;25,27;;;
16.08.1984;25,27;;;
23.08.1984;24,67;;;
30.09.1984;26,31;;;
02.10.1984;26,37;;;
29.10.1984;25,39;;;
07.11.1984;24,5;;;
26.11.1984;26,98;;;
20.12.1984;24,73;;;
23.12.1984;25,68;;;
08.01.1985;24,28;;;
31.01.1985;26,25;;;
06.02.1985;27,05;;;
27.02.1985;24,75;;;
11.03.1985;24,89;;;
01.04.1985;25,45;;;
18.04.1985;26,43;;;
15.05.1985;26,39;;;
03.06.1985;26,03;;;
30.06.1985;26,15;;;
09.07.1985;25,47;;;
05.08.1985;24,61;;;
31.08.1985;24,65;;;
11.09.1985;24,75;;;
07.10.1985;23,67;;;
07.11.1985;23,35;;;
15.11.1985;24,17;;;
02.12.1985;23,49;;;
10.12.1985;24,13;;;
11.12.1985;24,18;;;
12.12.1985;24,18;;;
13.12.1985;24,11;;;
14.12.1985;24,11;;;
15.12.1985;24,02;;;
16.12.1985;23,96;;;
17.12.1985;23,91;;;
18.12.1985;23,92;;;
19.12.1985;23,96;;;
20.12.1985;23,95;;;
21.12.1985;23,97;;;
22.12.1985;24;;;
23.12.1985;23,99;;;
24.12.1985;23,95;;;
25.12.1985;23,9;;;
26.12.1985;23,85;;;
27.12.1985;23,87;;;
28.12.1985;23,92;;;
29.12.1985;24,04;;;
30.12.1985;24,18;;;
31.12.1985;24,29;;;
01.01.1986;24,48;;;
02.01.1986;24,55;;;
03.01.1986;24,45;;;
04.01.1986;24,36;;;
05.01.1986;24,44;;;
06.01.1986;24,46;;;
07.01.1986;24,39;;;
08.01.1986;24,3;;;
09.01.1986;24,23;;;
10.01.1986;24,15;;;
11.01.1986;24,08;;;
12.01.1986;24,02;;;
13.01.1986;24,22;;;
14.01.1986;24,77;;;
15.01.1986;25,61;;;
16.01.1986;26,3;;;
17.01.1986;26,97;;;
18.01.1986;27,21;;;
19.01.1986;27,22;;;
20.01.1986;27,34;;;
21.01.1986;27,6;;;
22.01.1986;27,64;;;
23.01.1986;27,55;;;
24.01.1986;27,4;;;
25.01.1986;27,62;;;
26.01.1986;27,91;;;
27.01.1986;28,16;;;
28.01.1986;28,01;;;
29.01.1986;27,68;;;
30.01.1986;27,29;;;
31.01.1986;26,94;;;
01.02.1986;26,64;;;
02.02.1986;26,34;;;
03.02.1986;26,12;;;
04.02.1986;25,96;;;
05.02.1986;25,79;;;
06.02.1986;25,62;;;
07.02.1986;25,49;;;
08.02.1986;25,38;;;
09.02.1986;25,22;;;
10.02.1986;25,08;;;
11.02.1986;24,92;;;
12.02.1986;24,82;;;
13.02.1986;24,72;;;
14.02.1986;24,63;;;
15.02.1986;24,58;;;
16.02.1986;24,53;;;
17.02.1986;24,48;;;
18.02.1986;24,39;;;
19.02.1986;24,36;;;
20.02.1986;24,31;;;
21.02.1986;24,28;;;
22.02.1986;24,25;;;
23.02.1986;24,18;;;
24.02.1986;24,14;;;
25.02.1986;24,07;;;
26.02.1986;24,01;;;
27.02.1986;23,98;;;
28.02.1986;23,96;;;
01.03.1986;23,93;;;
02.03.1986;23,91;;;
03.03.1986;23,88;;;
04.03.1986;23,86;;;
05.03.1986;23,87;;;
06.03.1986;23,91;;;
07.03.1986;24;;;
08.03.1986;24,18;;;
09.03.1986;24,59;;;
10.03.1986;24,93;;;
11.03.1986;25,02;;;
12.03.1986;24,92;;;
13.03.1986;24,78;;;
14.03.1986;24,64;;;
15.03.1986;24,54;;;
16.03.1986;24,5;;;
17.03.1986;24,45;;;
18.03.1986;24,39;;;
19.03.1986;24,38;;;
20.03.1986;24,4;;;
21.03.1986;24,43;;;
22.03.1986;24,51;;;
23.03.1986;24,64;;;
24.03.1986;24,83;;;
25.03.1986;25,02;;;
26.03.1986;25,41;;;
27.03.1986;26,2;;;
28.03.1986;26,71;;;
29.03.1986;26,84;;;
30.03.1986;26,77;;;
31.03.1986;26,63;;;
01.04.1986;26,73;;;
02.04.1986;27,41;;;
03.04.1986;27,79;;;
04.04.1986;27,83;;;
05.04.1986;27,61;;;
06.04.1986;27,7;;;
07.04.1986;27,75;;;
08.04.1986;27,54;;;
09.04.1986;27,3;;;
10.04.1986;27,04;;;
11.04.1986;26,82;;;
12.04.1986;26,69;;;
13.04.1986;26,7;;;
14.04.1986;26,88;;;
15.04.1986;26,87;;;
16.04.1986;26,72;;;
17.04.1986;26,59;;;
18.04.1986;26,47;;;
19.04.1986;26,37;;;
20.04.1986;26,27;;;
21.04.1986;26,22;;;
22.04.1986;26,23;;;
23.04.1986;26,38;;;
24.04.1986;26,82;;;
25.04.1986;27,06;;;
26.04.1986;27,11;;;
27.04.1986;27,13;;;
28.04.1986;27,11;;;
29.04.1986;27,11;;;
05.05.1986;26,64;;;
06.05.1986;26,63;;;
07.05.1986;26,55;;;
08.05.1986;26,4;;;
09.05.1986;26,31;;;
10.05.1986;26,34;;;
11.05.1986;26,29;;;
12.05.1986;26,23;;;
13.05.1986;26,19;;;
14.05.1986;26,21;;;
15.05.1986;26,16;;;
16.05.1986;26,07;;;
17.05.1986;26,13;;;
18.05.1986;26,06;;;
19.05.1986;26,02;;;
20.05.1986;26,11;;;
21.05.1986;26,08;;;
22.05.1986;26,08;;;
23.05.1986;26,06;;;
24.05.1986;26,06;;;
25.05.1986;26,06;;;
26.05.1986;26,06;;;
27.05.1986;26,06;;;
28.05.1986;26,03;;;
29.05.1986;25,99;;;
30.05.1986;25,97;;;
31.05.1986;25,99;;;
01.06.1986;26,09;;;
02.06.1986;26,24;;;
03.06.1986;26,32;;;
04.06.1986;26,41;;;
05.06.1986;26,47;;;
06.06.1986;26,64;;;
07.06.1986;26,9;;;
08.06.1986;27,14;;;
09.06.1986;27,3;;;
10.06.1986;27,42;;;
11.06.1986;27,38;;;
12.06.1986;27,21;;;
13.06.1986;27,02;;;
14.06.1986;26,83;;;
15.06.1986;26,69;;;
16.06.1986;26,65;;;
17.06.1986;26,58;;;
18.06.1986;26,49;;;
19.06.1986;26,42;;;
20.06.1986;26,41;;;
21.06.1986;26,41;;;
22.06.1986;26,33;;;
23.06.1986;26,26;;;
24.06.1986;26,22;;;
25.06.1986;26,15;;;
26.06.1986;26,11;;;
27.06.1986;26,1;;;
28.06.1986;25,99;;;
29.06.1986;25,91;;;
30.06.1986;25,79;;;
01.07.1986;25,69;;;
02.07.1986;25,55;;;
03.07.1986;25,43;;;
04.07.1986;25,37;;;
05.07.1986;25,31;;;
06.07.1986;25,25;;;
07.07.1986;25,24;;;
08.07.1986;25,25;;;
09.07.1986;25,47;;;
10.07.1986;25,67;;;
11.07.1986;25,69;;;
12.07.1986;25,65;;;
13.07.1986;25,59;;;
14.07.1986;25,51;;;
15.07.1986;25,35;;;
16.07.1986;25,23;;;
17.07.1986;25,12;;;
18.07.1986;25,02;;;
19.07.1986;24,92;;;
20.07.1986;24,86;;;
21.07.1986;24,82;;;
22.07.1986;24,79;;;
23.07.1986;24,79;;;
24.07.1986;24,78;;;
25.07.1986;24,84;;;
26.07.1986;24,98;;;
27.07.1986;24,96;;;
28.07.1986;24,95;;;
29.07.1986;24,97;;;
30.07.1986;24,87;;;
31.07.1986;24,77;;;
01.08.1986;24,67;;;
02.08.1986;24,58;;;
03.08.1986;24,55;;;
04.08.1986;24,55;;;
05.08.1986;24,49;;;
06.08.1986;24,43;;;
07.08.1986;24,41;;;
08.08.1986;24,42;;;
09.08.1986;24,4;;;
10.08.1986;24,37;;;
11.08.1986;24,33;;;
12.08.1986;24,27;;;
13.08.1986;24,24;;;
14.08.1986;24,23;;;
15.08.1986;24,34;;;
16.08.1986;24,52;;;
17.08.1986;24,51;;;
18.08.1986;24,45;;;
19.08.1986;24,4;;;
20.08.1986;24,4;;;
21.08.1986;24,47;;;
22.08.1986;24,65;;;
23.08.1986;24,7;;;
24.08.1986;24,69;;;
25.08.1986;24,7;;;
26.08.1986;24,83;;;
27.08.1986;24,9;;;
28.08.1986;24,92;;;
29.08.1986;24,87;;;
30.08.1986;24,82;;;
31.08.1986;24,81;;;
01.09.1986;24,76;;;
02.09.1986;24,68;;;
03.09.1986;24,62;;;
04.09.1986;24,54;;;
05.09.1986;24,47;;;
06.09.1986;24,42;;;
07.09.1986;24,37;;;
08.09.1986;24,31;;;
09.09.1986;24,29;;;
10.09.1986;24,18;;;
11.09.1986;24,15;;;
12.09.1986;24,15;;;
13.09.1986;24,11;;;
14.09.1986;24,1;;;
15.09.1986;24,26;;;
16.09.1986;24,42;;;
17.09.1986;24,61;;;
18.09.1986;24,93;;;
19.09.1986;25,31;;;
20.09.1986;25,52;;;
21.09.1986;25,42;;;
22.09.1986;25,17;;;
23.09.1986;24,9;;;
24.09.1986;24,7;;;
25.09.1986;24,53;;;
26.09.1986;24,42;;;
27.09.1986;24,34;;;
28.09.1986;24,29;;;
29.09.1986;24,19;;;
30.09.1986;24,16;;;
01.10.1986;24,04;;;
