x;y;Latitude;Longitude;Street;
21.10.1974;31,82;51.234.439;6.814.029;Karl-Müller-Straße;
07.11.1974;31,85;;;;
04.12.1974;31,92;;;;
14.01.1975;32,2;;;;
05.02.1975;32,34;;;;
11.03.1975;32,48;;;;
16.04.1975;32,56;;;;
03.06.1975;32,59;;;;
17.07.1975;32,54;;;;
12.08.1975;32,47;;;;
03.09.1975;32,45;;;;
08.10.1975;32,4;;;;
05.11.1975;32,3;;;;
03.12.1975;32,21;;;;
09.01.1976;32,08;;;;
06.02.1976;32,05;;;;
03.03.1976;32,03;;;;
06.04.1976;31,98;;;;
06.05.1976;31,94;;;;
02.06.1976;31,89;;;;
27.07.1976;31,8;;;;
01.09.1976;31,73;;;;
13.10.1976;31,69;;;;
09.11.1976;31,65;;;;
07.12.1976;31,63;;;;
11.01.1977;31,6;;;;
08.02.1977;31,59;;;;
15.03.1977;31,65;;;;
12.04.1977;31,72;;;;
17.05.1977;31,83;;;;
14.06.1977;31,85;;;;
09.08.1977;31,93;;;;
13.09.1977;31,94;;;;
11.10.1977;31,92;;;;
15.11.1977;31,87;;;;
17.01.1978;31,91;;;;
14.02.1978;32,03;;;;
14.03.1978;31,25;;;;
11.04.1978;31,12;;;;
09.05.1978;31,15;;;;
11.07.1978;31,35;;;;
15.08.1978;31,79;;;;
12.09.1978;31,84;;;;
18.10.1978;31,96;;;;
14.11.1978;31,97;;;;
12.12.1978;32;;;;
20.02.1979;32,06;;;;
20.03.1979;32,21;;;;
15.05.1979;32,5;;;;
19.06.1979;32,64;;;;
14.08.1979;32,7;;;;
11.09.1979;32,59;;;;
16.10.1979;32,51;;;;
13.11.1979;32,48;;;;
18.12.1979;32,39;;;;
15.01.1980;32,52;;;;
13.02.1980;32,52;;;;
11.03.1980;32,63;;;;
09.04.1980;32,66;;;;
06.05.1980;32,67;;;;
22.07.1980;32,47;;;;
26.08.1980;32,27;;;;
23.09.1980;32,19;;;;
11.11.1980;31,88;;;;
12.12.1980;31,77;;;;
13.01.1981;31,82;;;;
13.02.1981;31,9;;;;
17.03.1981;31,91;;;;
12.05.1981;31,99;;;;
12.06.1981;31,94;;;;
14.07.1981;32,06;;;;
11.08.1981;32,02;;;;
22.09.1981;32,08;;;;
20.10.1981;32,05;;;;
20.11.1981;32,08;;;;
19.01.1982;32,15;;;;
17.02.1982;32,49;;;;
16.03.1982;32,54;;;;
21.05.1982;32,5;;;;
22.06.1982;32,36;;;;
15.09.1982;32,22;;;;
19.10.1982;32,13;;;;
28.12.1982;31,78;;;;
14.01.1983;31,76;;;;
17.03.1983;31,98;;;;
05.05.1983;32,1;;;;
30.06.1983;32,41;;;;
22.09.1983;32,59;;;;
08.12.1983;32,42;;;;
23.02.1984;32,52;;;;
03.05.1984;32,52;;;;
05.07.1984;32,65;;;;
23.08.1984;32,62;;;;
29.10.1984;32,59;;;;
20.12.1984;32,59;;;;
27.02.1985;32,6;;;;
01.04.1985;32,57;;;;
03.06.1985;32,58;;;;
05.08.1985;32,73;;;;
07.10.1985;32,69;;;;
02.12.1985;32,44;;;;
03.02.1986;32,38;;;;
07.04.1986;32,46;;;;
03.06.1986;32,67;;;;
04.08.1986;32,8;;;;
06.10.1986;32,7;;;;
26.11.1986;32,66;;;;
28.01.1987;32,7;;;;
31.03.1987;32,83;;;;
01.06.1987;32,94;;;;
31.07.1987;33,1;;;;
30.09.1987;33,06;;;;
07.12.1987;32,96;;;;
27.01.1988;32,95;;;;
22.03.1988;33,15;;;;
07.06.1988;33,44;;;;
02.08.1988;33,36;;;;
03.10.1988;33,17;;;;
05.12.1988;33;;;;
06.02.1989;32,95;;;;
03.04.1989;32,85;;;;
05.06.1989;32,99;;;;
07.08.1989;32,85;;;;
02.10.1989;32,68;;;;
04.12.1989;32,47;;;;
05.02.1990;32,41;;;;
02.04.1990;32,52;;;;
04.06.1990;32,48;;;;
06.08.1990;32,38;;;;
01.10.1990;32,27;;;;
03.12.1990;32,08;;;;
04.02.1991;32,1;;;;
01.04.1991;32,08;;;;
03.06.1991;32,01;;;;
05.08.1991;31,95;;;;
07.10.1991;31,87;;;;
