x;y;Latitude;Longitude;Street;
02.08.1978;31,05;51.252.848;6.809.804;Max-Halbe-Straﬂe;
01.09.1978;31,09;;;;
01.10.1978;31,08;;;;
01.11.1978;31,05;;;;
01.12.1978;30,99;;;;
31.01.1979;31,01;;;;
28.02.1979;31,11;;;;
31.03.1979;31,23;;;;
30.04.1979;31,37;;;;
31.05.1979;31,46;;;;
14.06.1979;31,5;;;;
03.07.1979;31,49;;;;
31.08.1979;31,45;;;;
01.09.1979;31,45;;;;
03.10.1979;31,42;;;;
01.11.1979;31,36;;;;
04.12.1979;31,29;;;;
31.01.1980;31,36;;;;
29.02.1980;31,5;;;;
29.03.1980;31,53;;;;
26.04.1980;31,55;;;;
02.05.1980;31,56;;;;
04.06.1980;31,52;;;;
31.07.1980;31,54;;;;
06.08.1980;31,55;;;;
04.09.1980;31,49;;;;
03.10.1980;31,42;;;;
01.11.1980;31,35;;;;
03.12.1980;31,25;;;;
31.01.1981;31,29;;;;
18.02.1981;31,32;;;;
31.03.1981;31,39;;;;
30.04.1981;31,42;;;;
12.05.1981;31,43;;;;
02.06.1981;31,43;;;;
29.07.1981;31,44;;;;
01.08.1981;31,44;;;;
01.09.1981;31,42;;;;
30.10.1981;31,45;;;;
30.11.1981;31,5;;;;
31.12.1981;31,68;;;;
31.01.1982;31,78;;;;
28.02.1982;31,86;;;;
31.03.1982;31,95;;;;
01.04.1982;31,94;;;;
05.05.1982;31,91;;;;
02.06.1982;31,87;;;;
06.07.1982;31,81;;;;
25.08.1982;31,65;;;;
01.09.1982;31,63;;;;
01.10.1982;31,54;;;;
26.11.1982;31,42;;;;
28.12.1982;31,36;;;;
14.01.1983;31,36;;;;
28.02.1983;31,53;;;;
17.03.1983;31,54;;;;
29.04.1983;31,62;;;;
05.05.1983;31,63;;;;
30.06.1983;31,9;;;;
15.07.1983;31,94;;;;
03.08.1983;31,95;;;;
22.09.1983;31,89;;;;
15.10.1983;31,81;;;;
15.11.1983;31,78;;;;
08.12.1983;31,71;;;;
31.01.1984;31,72;;;;
23.02.1984;31,87;;;;
14.03.1984;31,88;;;;
03.04.1984;31,86;;;;
03.05.1984;31,83;;;;
31.05.1984;31,89;;;;
30.06.1984;32,08;;;;
05.07.1984;32,09;;;;
11.07.1984;32,1;;;;
23.08.1984;32,09;;;;
01.09.1984;32,05;;;;
29.10.1984;32,14;;;;
07.11.1984;32,17;;;;
20.12.1984;32,13;;;;
09.01.1985;32,12;;;;
27.02.1985;32,17;;;;
11.03.1985;32,14;;;;
01.04.1985;32,12;;;;
18.04.1985;32,08;;;;
15.05.1985;32,14;;;;
03.06.1985;32,16;;;;
30.06.1985;32,21;;;;
09.07.1985;32,26;;;;
10.07.1985;32,25;;;;
11.07.1985;32,26;;;;
12.07.1985;32,26;;;;
13.07.1985;32,26;;;;
14.07.1985;32,27;;;;
15.07.1985;32,27;;;;
16.07.1985;32,27;;;;
17.07.1985;32,28;;;;
18.07.1985;32,29;;;;
19.07.1985;32,29;;;;
20.07.1985;32,29;;;;
21.07.1985;32,29;;;;
22.07.1985;32,29;;;;
23.07.1985;32,29;;;;
24.07.1985;32,29;;;;
25.07.1985;32,3;;;;
26.07.1985;32,3;;;;
27.07.1985;32,31;;;;
28.07.1985;32,31;;;;
29.07.1985;32,31;;;;
30.07.1985;32,31;;;;
31.07.1985;32,31;;;;
01.08.1985;32,31;;;;
02.08.1985;32,31;;;;
03.08.1985;32,31;;;;
04.08.1985;32,31;;;;
05.08.1985;32,32;;;;
06.08.1985;32,31;;;;
07.08.1985;32,31;;;;
08.08.1985;32,31;;;;
09.08.1985;32,31;;;;
10.08.1985;32,31;;;;
11.08.1985;32,31;;;;
12.08.1985;32,31;;;;
13.08.1985;32,31;;;;
14.08.1985;32,32;;;;
15.08.1985;32,31;;;;
16.08.1985;32,31;;;;
17.08.1985;32,32;;;;
18.08.1985;32,32;;;;
19.08.1985;32,32;;;;
20.08.1985;32,32;;;;
21.08.1985;32,32;;;;
22.08.1985;32,32;;;;
23.08.1985;32,31;;;;
24.08.1985;32,32;;;;
25.08.1985;32,32;;;;
26.08.1985;32,31;;;;
03.09.1985;32,34;;;;
04.09.1985;32,32;;;;
05.09.1985;32,32;;;;
06.09.1985;32,31;;;;
07.09.1985;32,3;;;;
08.09.1985;32,3;;;;
09.09.1985;32,3;;;;
10.09.1985;32,3;;;;
11.09.1985;32,29;;;;
12.09.1985;32,29;;;;
13.09.1985;32,29;;;;
14.09.1985;32,29;;;;
15.09.1985;32,3;;;;
16.09.1985;32,29;;;;
17.09.1985;32,29;;;;
18.09.1985;32,28;;;;
19.09.1985;32,29;;;;
20.09.1985;32,28;;;;
21.09.1985;32,28;;;;
22.09.1985;32,28;;;;
23.09.1985;32,28;;;;
24.09.1985;32,28;;;;
25.09.1985;32,27;;;;
26.09.1985;32,27;;;;
27.09.1985;32,26;;;;
28.09.1985;32,26;;;;
29.09.1985;32,26;;;;
30.09.1985;32,26;;;;
01.10.1985;32,26;;;;
02.10.1985;32,26;;;;
03.10.1985;32,26;;;;
04.10.1985;32,26;;;;
05.10.1985;32,25;;;;
06.10.1985;32,25;;;;
07.10.1985;32,25;;;;
08.10.1985;32,24;;;;
09.10.1985;32,24;;;;
10.10.1985;32,23;;;;
