x;y;Latitude;Longitude;Street
31.05.1972;27,21;51.233.367;6.728.306;Pariser Straﬂe
29.06.1972;27,57;;;
25.07.1972;27,52;;;
23.08.1972;27,6;;;
26.09.1972;27,08;;;
25.10.1972;26,49;;;
21.11.1972;26,85;;;
20.12.1972;28,09;;;
23.01.1973;27,04;;;
27.02.1973;27,13;;;
27.03.1973;27,24;;;
25.04.1973;27,64;;;
23.05.1973;28,12;;;
26.06.1973;27,73;;;
26.07.1973;27,73;;;
28.08.1973;27,5;;;
26.09.1973;26,95;;;
30.10.1973;27,07;;;
13.11.1973;26,98;;;
26.12.1973;27,95;;;
29.01.1974;28,2;;;
28.02.1974;28,3;;;
26.03.1974;28,2;;;
17.04.1974;27,84;;;
28.05.1974;27,19;;;
25.06.1974;27,35;;;
23.07.1974;27,68;;;
30.08.1974;27,53;;;
25.09.1974;27,23;;;
09.10.1974;27,22;;;
12.11.1974;28,58;;;
10.12.1974;29,45;;;
21.01.1975;29,65;;;
18.02.1975;29,37;;;
12.03.1975;28,53;;;
16.04.1975;28,47;;;
03.06.1975;28,35;;;
17.07.1975;28,69;;;
12.08.1975;28,37;;;
03.09.1975;28,39;;;
01.10.1975;28,35;;;
04.11.1975;28,33;;;
02.12.1975;28,31;;;
07.01.1976;28,27;;;
04.02.1976;28,28;;;
10.03.1976;28,25;;;
15.12.1976;27,19;;;
18.01.1977;27,08;;;
30.03.1977;28,7;;;
26.05.1977;28,49;;;
11.08.1977;28,09;;;
04.10.1977;27,58;;;
20.12.1977;28,24;;;
07.02.1978;28,45;;;
13.04.1978;29,69;;;
07.06.1978;29,6;;;
11.08.1978;28,72;;;
11.10.1978;27,8;;;
15.12.1978;26,95;;;
14.02.1979;29,19;;;
16.03.1979;29,72;;;
18.05.1979;29,13;;;
18.07.1979;28,58;;;
14.09.1979;27,76;;;
16.11.1979;27,8;;;
11.01.1980;29,05;;;
12.02.1980;30,55;;;
15.04.1980;28,72;;;
28.05.1980;28,34;;;
18.07.1980;29,81;;;
29.07.1980;30,2;;;
10.09.1980;28,69;;;
07.10.1980;28,4;;;
02.12.1980;28,55;;;
19.12.1980;28,08;;;
07.01.1981;28,75;;;
08.01.1981;28,9;;;
16.01.1981;28,95;;;
20.01.1981;29,01;;;
22.01.1981;29,12;;;
28.01.1981;29,17;;;
04.02.1981;28,93;;;
05.02.1981;28,85;;;
12.02.1981;29,44;;;
18.02.1981;29,5;;;
27.02.1981;28,99;;;
08.04.1981;29,77;;;
14.04.1981;29,57;;;
12.06.1981;29,09;;;
14.07.1981;28,33;;;
04.08.1981;28,8;;;
02.09.1981;28,25;;;
07.10.1981;28,05;;;
19.11.1981;29,2;;;
08.12.1981;29,75;;;
05.02.1982;31,01;;;
06.04.1982;29,25;;;
08.06.1982;28,52;;;
31.08.1982;28,35;;;
22.10.1982;28,69;;;
22.12.1982;29,5;;;
14.01.1983;29,71;;;
17.03.1983;29,03;;;
05.05.1983;30,09;;;
30.06.1983;29,79;;;
22.09.1983;27,73;;;
08.12.1983;27,15;;;
23.02.1984;29,75;;;
03.05.1984;28,17;;;
05.07.1984;28,56;;;
23.08.1984;28,2;;;
29.10.1984;28,54;;;
20.12.1984;28,16;;;
27.02.1985;28,38;;;
01.04.1985;28,16;;;
03.06.1985;28,75;;;
05.08.1985;28,15;;;
03.02.1986;29,2;;;
07.04.1986;29,28;;;
30.03.1987;29,4;;;
03.08.1987;29,78;;;
30.12.1987;28,49;;;
28.01.1988;28,53;;;
03.03.1988;29,34;;;
21.03.1988;30,43;;;
31.03.1988;31,41;;;
29.07.1988;28,32;;;
05.12.1988;27,16;;;
06.02.1989;27,74;;;
03.04.1989;28,21;;;
05.06.1989;28,22;;;
07.08.1989;27,32;;;
02.10.1989;26,99;;;
04.12.1989;26,65;;;
05.02.1990;27,41;;;
02.04.1990;28,19;;;
04.06.1990;27,28;;;
