x;y;Latitude;Longitude;Street
28.07.1950;37,15;51.178.304;6.875.167;Schillstraﬂe
25.08.1950;37,05;;;
26.09.1950;36,86;;;
31.10.1950;36,72;;;
30.11.1950;36,85;;;
05.01.1951;37,08;;;
08.02.1951;37,6;;;
03.03.1951;37,65;;;
05.04.1951;37,85;;;
10.05.1951;37,83;;;
12.06.1951;37,79;;;
04.07.1951;37,67;;;
21.08.1951;37,72;;;
20.09.1951;37,6;;;
09.10.1951;37,47;;;
08.11.1951;37,3;;;
05.12.1951;37,42;;;
11.01.1952;37,71;;;
08.02.1952;37,88;;;
14.03.1952;37,88;;;
03.04.1952;37,94;;;
12.05.1952;37,93;;;
10.06.1952;37,82;;;
03.07.1952;37,62;;;
15.08.1952;37,4;;;
08.09.1952;37,32;;;
08.10.1952;37,2;;;
10.11.1952;37,25;;;
02.12.1952;37,38;;;
13.01.1953;37,85;;;
06.02.1953;38,06;;;
05.03.1953;38,27;;;
10.04.1953;38,15;;;
05.05.1953;38,05;;;
03.06.1953;37,85;;;
21.07.1953;37,69;;;
11.08.1953;37,68;;;
08.09.1953;37,62;;;
16.10.1953;37,38;;;
04.11.1953;37,26;;;
16.12.1953;37,02;;;
12.01.1954;36,98;;;
06.02.1954;37,04;;;
09.03.1954;37,08;;;
09.04.1954;37,09;;;
04.05.1954;36,98;;;
01.06.1954;36,93;;;
09.07.1954;36,92;;;
06.08.1954;36,92;;;
04.09.1954;37,19;;;
09.10.1954;37,27;;;
12.11.1954;37,55;;;
04.12.1954;37,52;;;
08.01.1955;37,71;;;
14.02.1955;38,34;;;
10.03.1955;38,15;;;
06.04.1955;38,11;;;
07.05.1955;38,06;;;
18.06.1955;37,95;;;
13.07.1955;37,82;;;
04.08.1955;37,7;;;
12.09.1955;37,52;;;
08.10.1955;37,4;;;
03.11.1955;37,26;;;
10.12.1955;37,09;;;
09.01.1956;37,03;;;
08.02.1956;37,11;;;
20.03.1956;37,32;;;
11.04.1956;37,24;;;
05.05.1956;37,15;;;
04.06.1956;37,09;;;
11.06.1956;37,07;;;
06.08.1956;37,4;;;
18.09.1956;37,31;;;
10.10.1956;37,56;;;
07.11.1956;37,69;;;
10.12.1956;37,7;;;
16.01.1957;37,78;;;
18.02.1957;37,97;;;
13.03.1957;38,14;;;
03.04.1957;37,26;;;
06.05.1957;38,05;;;
03.06.1957;37,88;;;
10.07.1957;37,66;;;
07.08.1957;37,53;;;
02.09.1957;37,47;;;
09.10.1957;38,13;;;
06.11.1957;38;;;
05.12.1957;38;;;
22.01.1958;38,02;;;
10.02.1958;37,96;;;
01.03.1958;38,26;;;
14.04.1958;38,25;;;
07.05.1958;38,17;;;
04.06.1958;38,43;;;
09.07.1958;38,23;;;
11.08.1958;38,12;;;
08.09.1958;37,97;;;
06.10.1958;37,76;;;
05.11.1958;37,71;;;
03.12.1958;37,59;;;
05.01.1959;37,74;;;
16.02.1959;37,61;;;
09.03.1959;37,54;;;
06.04.1959;37,43;;;
04.05.1959;37,1;;;
01.06.1959;36,79;;;
06.07.1959;36,5;;;
03.08.1959;36,35;;;
23.09.1959;36,21;;;
07.10.1959;35,97;;;
09.11.1959;36,49;;;
09.12.1959;36,45;;;
06.01.1960;36,63;;;
11.01.1960;36,73;;;
08.02.1960;36,54;;;
14.03.1960;36,58;;;
14.04.1960;36,59;;;
23.05.1960;36,3;;;
20.06.1960;36,21;;;
20.07.1960;36,23;;;
17.08.1960;36,25;;;
14.09.1960;36,36;;;
14.10.1960;36,48;;;
09.11.1960;37,07;;;
15.12.1960;37,58;;;
11.01.1961;37,73;;;
23.02.1961;38,07;;;
10.03.1961;38,09;;;
06.04.1961;38;;;
04.05.1961;38,09;;;
19.06.1961;38,81;;;
18.07.1961;38,32;;;
15.08.1961;38,2;;;
29.09.1961;37,9;;;
16.10.1961;37,85;;;
13.11.1961;37,82;;;
20.12.1961;38,06;;;
16.01.1962;37,96;;;
12.02.1962;38,22;;;
19.03.1962;38,2;;;
05.04.1962;38,2;;;
10.05.1962;37,93;;;
04.06.1962;37,83;;;
16.07.1962;37,73;;;
13.08.1962;37,63;;;
05.09.1962;37,53;;;
08.10.1962;37,33;;;
07.11.1962;37,27;;;
10.12.1962;37,1;;;
18.02.1963;37,07;;;
11.03.1963;37,27;;;
09.04.1963;37,45;;;
13.05.1963;37,35;;;
12.06.1963;37,32;;;
17.07.1963;37,24;;;
14.08.1963;37,07;;;
25.09.1963;36,9;;;
09.10.1963;36,87;;;
06.11.1963;36,76;;;
04.12.1963;36,75;;;
14.01.1964;36,57;;;
12.02.1964;36,59;;;
11.03.1964;36,6;;;
09.04.1964;36,57;;;
13.05.1964;36,58;;;
10.06.1964;36,54;;;
15.07.1964;36,46;;;
12.08.1964;36,41;;;
18.09.1964;36,22;;;
21.10.1964;36,17;;;
19.11.1964;36,13;;;
16.12.1964;36,09;;;
13.01.1965;36,15;;;
10.02.1965;36,37;;;
17.03.1965;36,33;;;
14.04.1965;36,38;;;
12.05.1965;36,57;;;
24.06.1965;36,65;;;
21.07.1965;36,88;;;
04.08.1965;37,03;;;
01.09.1965;37,3;;;
06.10.1965;37,37;;;
02.11.1965;37,25;;;
15.12.1965;37,39;;;
12.01.1966;37,73;;;
09.02.1966;37,69;;;
16.03.1966;37,72;;;
13.04.1966;37,89;;;
11.05.1966;37,94;;;
15.06.1966;37,69;;;
13.07.1966;37,79;;;
10.08.1966;37,93;;;
14.09.1966;37,73;;;
12.10.1966;37,6;;;
09.11.1966;37,58;;;
14.12.1966;37,78;;;
11.01.1967;38,23;;;
08.02.1967;38,1;;;
15.03.1967;38,11;;;
11.04.1967;38,09;;;
17.05.1967;37,93;;;
14.06.1967;37,79;;;
12.07.1967;37,64;;;
09.08.1967;37,44;;;
06.09.1967;37,23;;;
11.10.1967;37,15;;;
15.11.1967;37,03;;;
13.12.1967;37,14;;;
17.01.1968;37,69;;;
14.02.1968;37,78;;;
13.03.1968;37,74;;;
10.04.1968;37,72;;;
08.05.1968;37,63;;;
18.06.1968;37,53;;;
17.07.1968;37,35;;;
14.08.1968;37,28;;;
25.09.1968;37,43;;;
16.10.1968;37,79;;;
13.11.1968;37,71;;;
11.12.1968;37,54;;;
15.01.1969;37,49;;;
12.02.1969;37,41;;;
12.03.1969;37,45;;;
30.04.1969;37,45;;;
14.05.1969;37,46;;;
18.06.1969;37,57;;;
16.07.1969;37,43;;;
13.08.1969;37,33;;;
26.09.1969;37,37;;;
15.10.1969;37,34;;;
12.11.1969;37,19;;;
10.12.1969;37;;;
14.01.1970;36,88;;;
11.02.1970;37,03;;;
11.03.1970;37,64;;;
09.04.1970;37,96;;;
06.05.1970;38,04;;;
16.06.1970;37,87;;;
15.07.1970;37,58;;;
12.08.1970;37,61;;;
16.09.1970;37,42;;;
14.10.1970;37,29;;;
11.11.1970;37,23;;;
09.12.1970;37,21;;;
13.01.1971;37,19;;;
10.02.1971;37,15;;;
17.03.1971;37,09;;;
14.04.1971;37;;;
12.05.1971;36,86;;;
23.06.1971;36,69;;;
14.07.1971;36,71;;;
11.08.1971;36,71;;;
21.09.1971;36,65;;;
13.10.1971;36,6;;;
10.11.1971;36,57;;;
08.12.1971;36,46;;;
12.01.1972;36,42;;;
09.02.1972;36,35;;;
15.03.1972;36,31;;;
12.04.1972;36,09;;;
09.05.1972;35,23;;;
14.06.1972;34,95;;;
13.07.1972;34,51;;;
09.08.1972;34,39;;;
13.09.1972;34,32;;;
11.10.1972;34,31;;;
08.11.1972;34,35;;;
15.12.1972;34,31;;;
10.01.1973;34,31;;;
14.02.1973;34,14;;;
14.03.1973;34,01;;;
10.04.1973;33,95;;;
09.05.1973;34,22;;;
13.06.1973;34,69;;;
18.07.1973;35,01;;;
15.08.1973;35,15;;;
19.09.1973;35,26;;;
17.10.1973;35,23;;;
12.11.1973;35,23;;;
12.12.1973;35,23;;;
16.01.1974;35,33;;;
20.02.1974;35,5;;;
13.03.1974;35,64;;;
16.04.1974;35,78;;;
17.05.1974;35,76;;;
12.06.1974;35,71;;;
11.07.1974;35,68;;;
28.08.1974;35,66;;;
12.09.1974;35,65;;;
15.10.1974;35,54;;;
13.11.1974;35,65;;;
11.12.1974;35,85;;;
21.01.1975;36,38;;;
25.02.1975;36,58;;;
18.03.1975;36,63;;;
10.04.1975;36,7;;;
12.06.1975;36,74;;;
22.07.1975;36,66;;;
13.08.1975;36,65;;;
24.09.1975;36,54;;;
22.10.1975;36,44;;;
26.11.1975;36,35;;;
23.12.1975;36,31;;;
28.01.1976;36,31;;;
20.02.1976;36,38;;;
31.03.1976;36,36;;;
28.04.1976;36,27;;;
21.05.1976;36,16;;;
23.06.1976;36,04;;;
06.10.1976;35,74;;;
01.12.1976;35,67;;;
26.01.1977;35,61;;;
29.03.1977;35,86;;;
11.05.1977;36,04;;;
07.07.1977;36,08;;;
24.08.1977;36,05;;;
26.10.1977;35,94;;;
28.12.1977;35,97;;;
22.02.1978;36,12;;;
21.04.1978;36,48;;;
01.06.1978;36,76;;;
19.07.1978;36,63;;;
26.09.1978;36,64;;;
28.11.1978;36,35;;;
05.02.1979;36,48;;;
06.04.1979;36,91;;;
13.06.1979;37,13;;;
21.08.1979;37,02;;;
24.10.1979;36,8;;;
21.12.1979;36,78;;;
27.02.1980;37,14;;;
25.04.1980;37,21;;;
10.06.1980;37,12;;;
19.08.1980;37,36;;;
28.10.1980;37,15;;;
31.12.1980;36,99;;;
24.02.1981;37,39;;;
28.04.1981;37,57;;;
26.06.1981;37,54;;;
26.08.1981;37,43;;;
27.10.1981;37,37;;;
22.12.1981;37,63;;;
25.02.1982;37,86;;;
13.04.1982;37,81;;;
23.06.1982;37,59;;;
21.09.1982;37,4;;;
24.11.1982;37,29;;;
14.01.1983;37,39;;;
17.03.1983;37,65;;;
05.05.1983;37,79;;;
30.06.1983;37,93;;;
22.09.1983;37,5;;;
08.12.1983;37,12;;;
23.02.1984;37,56;;;
03.05.1984;37,42;;;
05.07.1984;37,77;;;
23.08.1984;37,56;;;
29.10.1984;37,58;;;
20.12.1984;37,54;;;
27.02.1985;37,59;;;
01.04.1985;37,55;;;
03.06.1985;37,59;;;
05.08.1985;37,77;;;
07.10.1985;37,57;;;
02.12.1985;37,27;;;
03.02.1986;37,52;;;
07.04.1986;37,65;;;
06.06.1986;37,75;;;
04.08.1986;37,65;;;
06.10.1986;37,32;;;
02.12.1986;37,19;;;
03.02.1987;37,49;;;
02.04.1987;37,79;;;
05.08.1987;37,84;;;
05.10.1987;37,69;;;
04.12.1987;37,45;;;
01.02.1988;37,56;;;
28.03.1988;37,95;;;
14.06.1988;37,87;;;
26.07.1988;37,74;;;
03.10.1988;37,46;;;
05.12.1988;37,34;;;
06.02.1989;37,51;;;
03.04.1989;37,53;;;
05.06.1989;37,58;;;
07.08.1989;37,32;;;
02.10.1989;37,08;;;
04.12.1989;36,9;;;
05.02.1990;36,96;;;
02.04.1990;37,1;;;
04.06.1990;36,98;;;
06.08.1990;36,88;;;
01.10.1990;36,74;;;
03.12.1990;36,4;;;
04.02.1991;36,79;;;
01.04.1991;36,84;;;
03.06.1991;36,69;;;
05.08.1991;36,78;;;
07.10.1991;36,56;;;
02.12.1991;36,41;;;
03.02.1992;36,34;;;
06.04.1992;36,46;;;
01.06.1992;36,67;;;
03.08.1992;36,63;;;
05.10.1992;36,52;;;
07.12.1992;36,51;;;
01.02.1993;36,93;;;
05.04.1993;37,02;;;
07.06.1993;36,94;;;
02.08.1993;36,83;;;
29.09.1993;36,86;;;
01.12.1993;36,94;;;
02.02.1994;37,68;;;
07.04.1994;37,94;;;
08.06.1994;37,88;;;
27.07.1994;37,71;;;
07.10.1994;37,39;;;
30.11.1994;37,22;;;
14.02.1995;37,73;;;
20.03.1995;38,07;;;
05.10.1995;37,62;;;
21.11.1995;37,48;;;
06.08.1996;36,95;;;
10.06.1997;37,36;;;
13.10.1997;37,22;;;
07.04.1998;37,14;;;
08.10.1998;37,23;;;
12.04.1999;38,24;;;
07.10.1999;37,65;;;
04.04.2000;37,92;;;
11.10.2000;37,68;;;
10.04.2001;38,08;;;
02.10.2001;37,77;;;
05.04.2002;37,99;;;
09.10.2002;37,71;;;
07.02.2003;38,29;;;
06.03.2003;38,23;;;
15.04.2003;38,05;;;
09.07.2003;37,69;;;
11.10.2003;37,31;;;
17.11.2003;37,27;;;
03.12.2003;37,24;;;
05.12.2003;37,24;;;
06.12.2003;37,23;;;
07.12.2003;37,23;;;
08.12.2003;37,23;;;
09.12.2003;37,24;;;
10.12.2003;37,23;;;
11.12.2003;37,23;;;
12.12.2003;37,24;;;
13.12.2003;37,25;;;
14.12.2003;37,25;;;
15.12.2003;37,25;;;
16.12.2003;37,25;;;
17.12.2003;37,26;;;
18.12.2003;37,27;;;
19.12.2003;37,27;;;
20.12.2003;37,29;;;
21.12.2003;37,28;;;
22.12.2003;37,27;;;
23.12.2003;37,27;;;
24.12.2003;37,28;;;
25.12.2003;37,29;;;
26.12.2003;37,3;;;
27.12.2003;37,31;;;
28.12.2003;37,3;;;
29.12.2003;37,29;;;
30.12.2003;37,29;;;
31.12.2003;37,29;;;
01.01.2004;37,31;;;
02.01.2004;37,29;;;
03.01.2004;37,3;;;
04.01.2004;37,3;;;
05.01.2004;37,3;;;
06.01.2004;37,31;;;
07.01.2004;37,31;;;
08.01.2004;37,32;;;
09.01.2004;37,32;;;
10.01.2004;37,32;;;
11.01.2004;37,33;;;
12.01.2004;37,33;;;
13.01.2004;37,35;;;
14.01.2004;37,36;;;
15.01.2004;37,37;;;
16.01.2004;37,39;;;
17.01.2004;37,4;;;
18.01.2004;37,4;;;
19.01.2004;37,43;;;
20.01.2004;37,44;;;
21.01.2004;37,45;;;
22.01.2004;37,47;;;
23.01.2004;37,49;;;
24.01.2004;37,5;;;
25.01.2004;37,52;;;
26.01.2004;37,53;;;
27.01.2004;37,54;;;
28.01.2004;37,55;;;
29.01.2004;37,55;;;
30.01.2004;37,56;;;
31.01.2004;37,56;;;
01.02.2004;37,56;;;
02.02.2004;37,56;;;
03.02.2004;37,57;;;
04.02.2004;37,58;;;
05.02.2004;37,59;;;
06.02.2004;37,6;;;
07.02.2004;37,61;;;
08.02.2004;37,6;;;
09.02.2004;37,61;;;
10.02.2004;37,63;;;
11.02.2004;37,63;;;
12.02.2004;37,63;;;
13.02.2004;37,64;;;
14.02.2004;37,65;;;
15.02.2004;37,66;;;
16.02.2004;37,66;;;
17.02.2004;37,67;;;
18.02.2004;37,68;;;
19.02.2004;37,68;;;
20.02.2004;37,69;;;
21.02.2004;37,7;;;
22.02.2004;37,7;;;
23.02.2004;37,69;;;
24.02.2004;37,71;;;
25.02.2004;37,71;;;
26.02.2004;37,71;;;
27.02.2004;37,71;;;
28.02.2004;37,7;;;
29.02.2004;37,68;;;
01.03.2004;37,68;;;
02.03.2004;37,68;;;
03.03.2004;37,69;;;
04.03.2004;37,69;;;
05.03.2004;37,7;;;
06.03.2004;37,69;;;
07.03.2004;37,68;;;
08.03.2004;37,68;;;
09.03.2004;37,68;;;
10.03.2004;37,68;;;
11.03.2004;37,69;;;
12.03.2004;37,69;;;
13.03.2004;37,67;;;
14.03.2004;37,67;;;
15.03.2004;37,66;;;
16.03.2004;37,66;;;
17.03.2004;37,66;;;
18.03.2004;37,66;;;
19.03.2004;37,67;;;
20.03.2004;37,68;;;
21.03.2004;37,67;;;
22.03.2004;37,66;;;
23.03.2004;37,65;;;
24.03.2004;37,64;;;
25.03.2004;37,64;;;
26.03.2004;37,64;;;
27.03.2004;37,64;;;
28.03.2004;37,63;;;
29.03.2004;37,63;;;
30.03.2004;37,64;;;
31.03.2004;37,63;;;
01.04.2004;37,63;;;
02.04.2004;37,62;;;
03.04.2004;37,62;;;
04.04.2004;37,63;;;
05.04.2004;37,64;;;
06.04.2004;37,63;;;
07.04.2004;37,62;;;
08.04.2004;37,61;;;
09.04.2004;37,62;;;
10.04.2004;37,61;;;
11.04.2004;37,61;;;
12.04.2004;37,61;;;
13.04.2004;37,61;;;
14.04.2004;37,61;;;
15.04.2004;37,61;;;
16.04.2004;37,62;;;
17.04.2004;37,63;;;
18.04.2004;37,63;;;
19.04.2004;37,62;;;
20.04.2004;37,6;;;
21.04.2004;37,6;;;
22.04.2004;37,59;;;
23.04.2004;37,59;;;
24.04.2004;37,59;;;
25.04.2004;37,6;;;
26.04.2004;37,61;;;
27.04.2004;37,62;;;
28.04.2004;37,62;;;
29.04.2004;37,63;;;
30.04.2004;37,62;;;
01.05.2004;37,61;;;
02.05.2004;37,62;;;
03.05.2004;37,63;;;
04.05.2004;37,64;;;
05.05.2004;37,63;;;
06.05.2004;37,62;;;
07.05.2004;37,63;;;
08.05.2004;37,65;;;
09.05.2004;37,66;;;
10.05.2004;37,67;;;
11.05.2004;37,67;;;
12.05.2004;37,68;;;
13.05.2004;37,69;;;
14.05.2004;37,69;;;
15.05.2004;37,69;;;
16.05.2004;37,69;;;
17.05.2004;37,7;;;
18.05.2004;37,7;;;
19.05.2004;37,7;;;
20.05.2004;37,7;;;
21.05.2004;37,69;;;
22.05.2004;37,69;;;
23.05.2004;37,69;;;
24.05.2004;37,69;;;
25.05.2004;37,69;;;
26.05.2004;37,68;;;
27.05.2004;37,67;;;
28.05.2004;37,67;;;
29.05.2004;37,67;;;
30.05.2004;37,67;;;
31.05.2004;37,67;;;
01.06.2004;37,66;;;
02.06.2004;37,65;;;
