x;y;Latitude;Longitude;Street
23.10.1961;36,93;51.234.782;6.832.511;Sulzbachstraﬂe
20.11.1961;36,99;;;
04.12.1961;37,31;;;
08.01.1962;37,08;;;
05.02.1962;36,93;;;
12.03.1962;37,37;;;
09.04.1962;37,11;;;
14.05.1962;37,19;;;
18.06.1962;37,33;;;
09.07.1962;37,05;;;
08.08.1962;36,89;;;
17.09.1962;36,83;;;
22.10.1962;36,88;;;
19.11.1962;37,03;;;
03.12.1962;37,09;;;
08.02.1963;37,18;;;
06.03.1963;37,47;;;
03.04.1963;37,58;;;
06.05.1963;37,5;;;
13.06.1963;37,61;;;
10.07.1963;37,71;;;
07.08.1963;37,61;;;
04.09.1963;37,62;;;
16.10.1963;37,93;;;
13.11.1963;37,49;;;
11.12.1963;37,33;;;
08.01.1964;37,2;;;
05.02.1964;37,18;;;
03.03.1964;37,19;;;
01.04.1964;37,18;;;
06.05.1964;37,07;;;
03.06.1964;36,98;;;
08.07.1964;36,88;;;
05.08.1964;36,81;;;
22.09.1964;36,93;;;
16.10.1964;36,92;;;
04.11.1964;37,01;;;
09.12.1964;37,08;;;
06.01.1965;37,13;;;
03.02.1965;37,52;;;
10.03.1965;37,24;;;
07.04.1965;37,22;;;
05.05.1965;37,5;;;
23.06.1965;37,44;;;
14.07.1965;37,51;;;
11.08.1965;37,69;;;
08.09.1965;37,39;;;
13.10.1965;37,45;;;
10.11.1965;37,43;;;
08.12.1965;37,67;;;
05.01.1966;38,04;;;
02.02.1966;37,8;;;
09.03.1966;37,73;;;
06.04.1966;37,88;;;
04.05.1966;37,82;;;
07.06.1966;37,76;;;
06.07.1966;38,06;;;
03.08.1966;37,86;;;
07.09.1966;37,68;;;
05.10.1966;37,61;;;
02.11.1966;37,77;;;
07.12.1966;37,97;;;
04.01.1967;38,21;;;
01.02.1967;37,78;;;
08.03.1967;37,81;;;
05.04.1967;37,81;;;
03.05.1967;37,77;;;
07.06.1967;37,83;;;
05.07.1967;37,99;;;
02.08.1967;37,95;;;
01.09.1967;37,64;;;
04.10.1967;37,59;;;
08.11.1967;37,6;;;
06.12.1967;37,78;;;
10.01.1968;37,92;;;
07.02.1968;37,85;;;
06.03.1968;37,76;;;
03.04.1968;37,72;;;
02.05.1968;37,62;;;
12.06.1968;37,48;;;
10.07.1968;37,48;;;
07.08.1968;37,45;;;
04.09.1968;37,68;;;
09.10.1968;37,81;;;
06.11.1968;37,68;;;
04.12.1968;37,57;;;
08.01.1969;37,65;;;
05.02.1969;37,53;;;
05.03.1969;37,5;;;
23.04.1969;37,6;;;
07.05.1969;37,6;;;
11.06.1969;37,7;;;
08.10.1969;37,28;;;
05.11.1969;37,28;;;
03.12.1969;37,34;;;
07.01.1970;37,27;;;
11.02.1970;37,64;;;
04.03.1970;38,17;;;
01.04.1970;37,87;;;
04.05.1970;37,99;;;
10.06.1970;37,61;;;
08.07.1970;37,62;;;
05.08.1970;37,81;;;
02.09.1970;37,5;;;
07.10.1970;37,51;;;
04.11.1970;37,66;;;
02.12.1970;37,63;;;
07.01.1971;37,46;;;
03.02.1971;37,58;;;
10.03.1971;37,52;;;
06.04.1971;37,51;;;
05.05.1971;37,43;;;
22.06.1971;37,79;;;
07.07.1971;37,66;;;
04.08.1971;37,58;;;
01.09.1971;37,49;;;
06.10.1971;37,28;;;
03.11.1971;37,21;;;
01.12.1971;37,39;;;
05.01.1972;37,29;;;
02.02.1972;37,28;;;
08.03.1972;37,26;;;
05.04.1972;37,33;;;
03.05.1972;37,22;;;
07.06.1972;37,03;;;
04.07.1972;36,51;;;
02.08.1972;36,48;;;
01.09.1972;37,29;;;
03.10.1972;37,24;;;
02.11.1972;37,01;;;
01.12.1972;37,11;;;
09.01.1973;36,88;;;
07.02.1973;36,79;;;
13.03.1973;36,83;;;
09.04.1973;36,82;;;
08.05.1973;36,93;;;
12.06.1973;37,02;;;
05.07.1973;36,97;;;
08.08.1973;36,98;;;
11.09.1973;36,86;;;
10.10.1973;36,81;;;
08.11.1973;36,82;;;
05.12.1973;36,87;;;
03.01.1974;36,97;;;
15.02.1974;37,18;;;
06.03.1974;37,1;;;
03.04.1974;37,18;;;
14.05.1974;37,06;;;
05.06.1974;37;;;
05.07.1974;36,98;;;
20.08.1974;37,13;;;
04.09.1974;37,02;;;
02.10.1974;37,11;;;
07.11.1974;37,31;;;
04.12.1974;37,52;;;
14.01.1975;37,65;;;
05.02.1975;37,66;;;
11.03.1975;37,48;;;
16.04.1975;37,59;;;
03.06.1975;37,36;;;
17.07.1975;37,35;;;
12.08.1975;37,29;;;
03.09.1975;37,26;;;
08.10.1975;37,15;;;
05.11.1975;37,09;;;
03.12.1975;37,25;;;
09.01.1976;37,3;;;
06.02.1976;37,37;;;
05.03.1976;37,37;;;
07.04.1976;37,18;;;
05.05.1976;37,06;;;
03.06.1976;37,09;;;
28.07.1976;37,02;;;
07.09.1976;36,9;;;
03.11.1976;36,89;;;
04.01.1977;36,86;;;
23.03.1977;37;;;
27.05.1977;37,01;;;
17.08.1977;36,96;;;
19.10.1977;36,9;;;
21.12.1977;36,99;;;
08.02.1978;37,01;;;
05.04.1978;37,09;;;
06.06.1978;36,86;;;
09.08.1978;36,95;;;
10.10.1978;36,91;;;
19.12.1978;36,84;;;
28.02.1979;37,15;;;
27.04.1979;37,16;;;
29.06.1979;37,03;;;
24.08.1979;37;;;
31.10.1979;36,88;;;
28.12.1979;37,21;;;
19.02.1980;37,34;;;
18.04.1980;37,25;;;
18.06.1980;37,1;;;
14.08.1980;37,28;;;
08.10.1980;36,25;;;
05.12.1980;36,37;;;
06.02.1981;36,73;;;
03.04.1981;37,12;;;
05.06.1981;36,99;;;
04.08.1981;36,96;;;
09.10.1981;37,05;;;
11.12.1981;37,64;;;
07.04.1982;37,37;;;
09.06.1982;37,25;;;
03.09.1982;37,17;;;
05.11.1982;36,9;;;
14.01.1983;37,36;;;
17.03.1983;37,05;;;
25.03.1983;37,07;;;
05.05.1983;37,13;;;
30.06.1983;37,06;;;
22.09.1983;36,64;;;
08.12.1983;36,3;;;
23.02.1984;37,43;;;
03.05.1984;36,73;;;
05.07.1984;37,19;;;
23.08.1984;37,42;;;
29.10.1984;37,83;;;
20.12.1984;37,57;;;
27.02.1985;37,53;;;
01.04.1985;37,49;;;
03.06.1985;37,46;;;
05.08.1985;37,55;;;
07.10.1985;37,35;;;
02.12.1985;37,29;;;
03.02.1986;37,59;;;
07.04.1986;37,7;;;
09.06.1986;37,62;;;
04.08.1986;37,37;;;
06.10.1986;37,22;;;
