x;y;Latitude;Longitude;Street;
27.11.1925;27,92;51.227.636;6.758.231;Wildenbruchstraﬂe;
02.12.1925;27,62;;;;
10.12.1925;27,32;;;;
17.12.1925;27,72;;;;
24.12.1925;29,3;;;;
29.12.1925;31,03;;;;
30.12.1925;32,2;;;;
31.12.1925;33,12;;;;
01.01.1926;33,93;;;;
02.01.1926;34,37;;;;
03.01.1926;34,66;;;;
04.01.1926;34,4;;;;
05.01.1926;33,9;;;;
06.01.1926;33,46;;;;
07.01.1926;33,15;;;;
08.01.1926;32,85;;;;
09.01.1926;32,52;;;;
10.01.1926;32,24;;;;
11.01.1926;31,96;;;;
12.01.1926;31,74;;;;
13.01.1926;31,36;;;;
14.01.1926;31,12;;;;
15.01.1926;30,77;;;;
16.01.1926;30,58;;;;
18.01.1926;30;;;;
19.01.1926;29,77;;;;
20.01.1926;29,62;;;;
21.01.1926;29,44;;;;
22.01.1926;29,27;;;;
23.01.1926;29,07;;;;
25.01.1926;29,1;;;;
26.01.1926;29,04;;;;
27.01.1926;29,1;;;;
29.01.1926;29,42;;;;
01.02.1926;29,6;;;;
04.02.1926;29,66;;;;
08.02.1926;29,94;;;;
10.03.1931;30,9;;;;
17.03.1931;29,56;;;;
25.03.1931;29,37;;;;
31.03.1931;29,76;;;;
07.04.1931;29,02;;;;
15.04.1931;29,06;;;;
22.04.1931;29,07;;;;
29.04.1931;28,8;;;;
05.05.1931;29,67;;;;
12.05.1931;30,6;;;;
19.05.1931;29,28;;;;
27.05.1931;29,37;;;;
02.06.1931;29,19;;;;
10.06.1931;29,54;;;;
16.06.1931;29,35;;;;
23.06.1931;29,17;;;;
30.06.1931;29,21;;;;
07.07.1931;28,82;;;;
14.07.1931;29,13;;;;
21.07.1931;29,35;;;;
28.07.1931;29,86;;;;
04.08.1931;29,16;;;;
11.08.1931;29,14;;;;
18.08.1931;29,19;;;;
25.08.1931;30,27;;;;
01.09.1931;30,5;;;;
08.09.1931;30,76;;;;
15.09.1931;30,09;;;;
22.09.1931;29,37;;;;
30.09.1931;28,64;;;;
07.10.1931;28,29;;;;
14.10.1931;27,98;;;;
21.10.1931;27,65;;;;
28.10.1931;27,61;;;;
04.11.1931;28;;;;
11.11.1931;27,99;;;;
18.11.1931;27,98;;;;
25.11.1931;27,63;;;;
03.12.1931;27,51;;;;
09.12.1931;27,81;;;;
16.12.1931;28,43;;;;
23.12.1931;27,64;;;;
06.01.1932;28,07;;;;
14.01.1932;31,52;;;;
20.01.1932;29,6;;;;
27.01.1932;28,52;;;;
03.02.1932;28,02;;;;
10.02.1932;27,65;;;;
17.02.1932;27,34;;;;
24.02.1932;27,2;;;;
02.03.1932;26,94;;;;
09.03.1932;26,84;;;;
23.03.1932;27,38;;;;
07.04.1932;28,05;;;;
14.04.1932;29,7;;;;
21.04.1932;28,92;;;;
28.04.1932;28,25;;;;
06.05.1932;28,05;;;;
12.05.1932;28,65;;;;
19.05.1932;29,29;;;;
27.05.1932;28,81;;;;
02.06.1932;28,84;;;;
09.06.1932;28,77;;;;
16.06.1932;28,65;;;;
23.06.1932;28,19;;;;
30.06.1932;28,62;;;;
07.07.1932;28,78;;;;
14.07.1932;28,97;;;;
21.07.1932;29,78;;;;
28.07.1932;29,51;;;;
04.08.1932;29,09;;;;
11.08.1932;29,14;;;;
19.08.1932;28,53;;;;
25.08.1932;28,06;;;;
01.09.1932;27,79;;;;
08.09.1932;27,61;;;;
15.09.1932;27,38;;;;
22.09.1932;27,16;;;;
29.09.1932;27,43;;;;
06.10.1932;27,35;;;;
13.10.1932;27,14;;;;
20.10.1932;27,08;;;;
27.10.1932;28,11;;;;
03.11.1932;28,41;;;;
10.11.1932;29,3;;;;
18.11.1932;28,01;;;;
24.11.1932;27,83;;;;
01.12.1932;29,24;;;;
08.12.1932;28,53;;;;
15.12.1932;27,95;;;;
22.12.1932;27,52;;;;
29.12.1932;27,23;;;;
05.01.1933;27,21;;;;
12.01.1933;27,37;;;;
19.01.1933;27,38;;;;
26.01.1933;27,18;;;;
02.02.1933;27,18;;;;
09.02.1933;28,27;;;;
16.02.1933;28,72;;;;
23.02.1933;27,94;;;;
02.03.1933;27,37;;;;
09.03.1933;27,54;;;;
16.03.1933;28,22;;;;
23.03.1933;27,78;;;;
30.03.1933;27,6;;;;
06.04.1933;27,26;;;;
13.04.1933;27,22;;;;
19.04.1933;27,22;;;;
27.04.1933;27,02;;;;
04.05.1933;27,02;;;;
11.05.1933;27,65;;;;
18.05.1933;28,87;;;;
26.05.1933;28,53;;;;
01.06.1933;28,38;;;;
08.06.1933;28,44;;;;
16.06.1933;28,27;;;;
22.06.1933;28,57;;;;
30.06.1933;30,18;;;;
06.07.1933;29,78;;;;
13.07.1933;28,92;;;;
20.07.1933;28,8;;;;
27.07.1933;28,82;;;;
03.08.1933;28,5;;;;
10.08.1933;28,25;;;;
17.08.1933;27,8;;;;
24.08.1933;27,72;;;;
31.08.1933;27,7;;;;
07.09.1933;27,32;;;;
14.09.1933;27,02;;;;
21.09.1933;27,02;;;;
28.09.1933;27,28;;;;
05.10.1933;27,26;;;;
12.10.1933;27,04;;;;
19.10.1933;27,1;;;;
26.10.1933;27,06;;;;
02.11.1933;27,14;;;;
09.11.1933;27,22;;;;
16.11.1933;27,42;;;;
23.11.1933;27,25;;;;
30.11.1933;27,15;;;;
07.12.1933;27,06;;;;
14.12.1933;27,04;;;;
21.12.1933;27,02;;;;
25.01.1934;28,62;;;;
01.02.1934;27,74;;;;
08.02.1934;27,22;;;;
15.02.1934;26,97;;;;
22.02.1934;26,92;;;;
01.03.1934;26,92;;;;
08.03.1934;27,05;;;;
15.03.1934;28,12;;;;
22.03.1934;28,47;;;;
29.03.1934;28,07;;;;
05.04.1934;27,56;;;;
12.04.1934;27,21;;;;
19.04.1934;27,14;;;;
25.04.1934;27,18;;;;
03.05.1934;27,19;;;;
09.05.1934;27,22;;;;
18.05.1934;27,15;;;;
25.05.1934;26,95;;;;
31.05.1934;26,95;;;;
07.06.1934;26,92;;;;
14.06.1934;26,92;;;;
21.06.1934;26,92;;;;
28.06.1934;26,92;;;;
05.07.1934;27,35;;;;
12.07.1934;27,32;;;;
19.07.1934;27,05;;;;
26.07.1934;27,24;;;;
02.08.1934;27,32;;;;
10.08.1934;27,7;;;;
16.08.1934;27,92;;;;
23.08.1934;27,79;;;;
30.08.1934;27,43;;;;
06.09.1934;27,46;;;;
13.09.1934;27,52;;;;
20.09.1934;27,97;;;;
27.09.1934;27,64;;;;
04.10.1934;27,17;;;;
11.10.1934;27,06;;;;
18.10.1934;26,98;;;;
26.10.1934;27,36;;;;
02.11.1934;27,08;;;;
06.11.1934;27,09;;;;
13.11.1934;27,37;;;;
23.11.1934;27,08;;;;
27.11.1934;26,92;;;;
04.12.1934;26,92;;;;
11.12.1934;27,41;;;;
18.12.1934;27,31;;;;
27.12.1934;27,64;;;;
