x;y;Latitude;Longitude;Street
29.06.1972;38,21;51.206.063;6.860.008;Am Ellerforst
25.07.1972;38,41;;;
15.08.1972;38,33;;;
20.09.1972;38,19;;;
11.10.1972;38,06;;;
08.11.1972;37,95;;;
21.12.1972;37,94;;;
30.01.1973;37,81;;;
27.02.1973;37,87;;;
27.03.1973;37,8;;;
25.04.1973;37,86;;;
26.07.1973;37,68;;;
26.08.1973;37,62;;;
26.09.1973;37,52;;;
30.10.1973;37,48;;;
13.11.1973;37,45;;;
27.12.1973;37,5;;;
29.01.1974;37,62;;;
28.02.1974;37,88;;;
26.03.1974;37,95;;;
17.04.1974;37,96;;;
28.05.1974;37,84;;;
25.06.1974;37,77;;;
23.07.1974;37,77;;;
30.08.1974;37,71;;;
25.09.1974;37,67;;;
23.10.1974;37,72;;;
26.11.1974;37,93;;;
18.12.1974;38,47;;;
28.01.1975;38,81;;;
27.02.1975;38,84;;;
26.03.1975;38,75;;;
11.04.1975;39,15;;;
12.06.1975;38,78;;;
29.07.1975;38,6;;;
19.08.1975;38,44;;;
10.09.1975;38,36;;;
21.10.1975;38,22;;;
18.11.1975;38,22;;;
16.12.1975;38,31;;;
20.01.1976;38,46;;;
17.02.1976;38,74;;;
17.03.1976;38,51;;;
22.04.1976;38,25;;;
18.05.1976;38,12;;;
22.06.1976;37,97;;;
03.08.1976;37,84;;;
14.09.1976;37,72;;;
18.10.1976;37,64;;;
18.11.1976;37,57;;;
22.12.1976;37,49;;;
19.01.1977;37,47;;;
04.03.1977;37,63;;;
19.04.1977;37,75;;;
11.05.1979;38,87;;;
12.06.1979;38,84;;;
27.07.1979;38,5;;;
28.08.1979;38,63;;;
25.09.1979;38,1;;;
30.10.1979;37,77;;;
27.11.1979;37,45;;;
28.12.1979;37,47;;;
16.01.1980;37,53;;;
20.02.1980;37,65;;;
18.03.1980;37,38;;;
16.04.1980;37,45;;;
13.05.1980;37,38;;;
30.07.1980;37,72;;;
29.08.1980;37,76;;;
30.09.1980;37,77;;;
05.11.1980;37,78;;;
09.12.1980;37,82;;;
09.01.1981;38,12;;;
11.02.1981;38,57;;;
10.03.1981;38,89;;;
08.05.1981;38,78;;;
16.06.1981;38,75;;;
17.07.1981;38,74;;;
14.08.1981;38,68;;;
18.09.1981;38,55;;;
23.10.1981;38,75;;;
17.11.1981;38,81;;;
06.01.1982;39,34;;;
10.02.1982;39,12;;;
24.03.1982;39,06;;;
25.05.1982;38,87;;;
17.12.1982;38,61;;;
14.01.1983;38,84;;;
17.03.1983;39,04;;;
05.05.1983;39,12;;;
30.06.1983;38,98;;;
22.09.1983;38,38;;;
08.12.1983;37,92;;;
23.02.1984;38,52;;;
03.05.1984;38,3;;;
05.07.1984;38,64;;;
23.08.1984;38,4;;;
29.10.1984;38,56;;;
20.12.1984;38,69;;;
27.02.1985;38,73;;;
01.04.1985;38,76;;;
03.06.1985;38,71;;;
05.08.1985;38,77;;;
07.10.1985;38,37;;;
02.12.1985;38,11;;;
03.02.1986;38,83;;;
07.04.1986;38,85;;;
10.06.1986;38,59;;;
04.08.1986;38,24;;;
06.10.1986;38,04;;;
03.12.1986;38,05;;;
30.01.1987;38,5;;;
