x;y;Latitude;Longitude;Street
11.01.1961;29,74;51.206.063;6.860.008;Bachstraﬂe
23.02.1961;29,55;;;
10.03.1961;30;;;
06.04.1961;28,76;;;
04.05.1961;28,63;;;
19.06.1961;27,87;;;
18.07.1961;27,73;;;
15.08.1961;27,46;;;
29.09.1961;27,12;;;
16.10.1961;27,03;;;
13.11.1961;27,09;;;
20.12.1961;27,55;;;
16.01.1962;28,27;;;
12.02.1962;29,08;;;
19.03.1962;29,53;;;
05.04.1962;29,3;;;
10.05.1962;29,66;;;
04.06.1962;29,51;;;
16.07.1962;29,1;;;
13.08.1962;28,65;;;
05.09.1962;28,12;;;
08.10.1962;27,86;;;
07.11.1962;27,37;;;
10.12.1962;27,1;;;
18.02.1963;27,03;;;
11.03.1963;26,75;;;
09.04.1963;28,02;;;
13.05.1963;28,22;;;
12.06.1963;28,31;;;
17.07.1963;28,25;;;
14.08.1963;28,39;;;
25.09.1963;28,48;;;
09.10.1963;28,36;;;
06.11.1963;28,26;;;
04.12.1963;28,71;;;
14.01.1964;28,08;;;
12.02.1964;27,75;;;
11.03.1964;27,73;;;
09.04.1964;28,08;;;
13.05.1964;28,23;;;
10.06.1964;28,43;;;
15.07.1964;28,02;;;
12.08.1964;27,58;;;
18.09.1964;27,31;;;
21.10.1964;27,2;;;
19.11.1964;27,66;;;
16.12.1964;27,87;;;
13.01.1965;28,03;;;
10.02.1965;28,85;;;
17.03.1965;28,42;;;
14.04.1965;29,16;;;
12.05.1965;29,45;;;
24.06.1965;30,16;;;
21.07.1965;30,31;;;
04.08.1965;30,33;;;
01.09.1965;29,8;;;
06.10.1965;29,47;;;
02.11.1965;28,84;;;
15.12.1965;30,28;;;
12.01.1966;30,9;;;
09.02.1966;30,36;;;
16.03.1966;30,29;;;
13.04.1966;30,1;;;
11.05.1966;30,19;;;
15.06.1966;29,5;;;
13.07.1966;29,56;;;
10.08.1966;29,68;;;
14.09.1966;28,84;;;
12.10.1966;27,67;;;
09.11.1966;27,18;;;
14.12.1966;27,77;;;
11.01.1967;28,96;;;
08.02.1967;29,71;;;
15.03.1967;29,92;;;
11.04.1967;29,11;;;
17.05.1967;28,13;;;
14.06.1967;27,9;;;
12.07.1967;28,14;;;
09.08.1967;28,76;;;
06.09.1967;28,91;;;
11.10.1967;28,56;;;
15.11.1967;28,54;;;
13.12.1967;28,62;;;
17.01.1968;29,44;;;
14.02.1968;30,1;;;
13.03.1968;30,04;;;
10.04.1968;29,9;;;
08.05.1968;29,35;;;
18.06.1968;28,65;;;
17.07.1968;28,24;;;
14.08.1968;28,66;;;
25.09.1968;29,2;;;
16.10.1968;29,26;;;
13.11.1968;28,59;;;
11.12.1968;27,94;;;
15.01.1969;27,76;;;
12.02.1969;28;;;
12.03.1969;28,13;;;
30.04.1969;28,65;;;
14.05.1969;28,86;;;
18.06.1969;28,77;;;
16.07.1969;28,66;;;
13.08.1969;28,27;;;
26.09.1969;28,32;;;
15.10.1969;28,04;;;
12.11.1969;27,58;;;
10.12.1969;27,73;;;
14.01.1970;27,67;;;
11.02.1970;28,49;;;
11.03.1970;30,08;;;
09.04.1970;30,4;;;
06.05.1970;30,07;;;
16.06.1970;29,78;;;
15.07.1970;29,45;;;
12.08.1970;28,91;;;
16.09.1970;29,01;;;
14.10.1970;28,84;;;
11.11.1970;28,55;;;
09.12.1970;28,68;;;
13.01.1971;28,38;;;
10.02.1971;28,33;;;
17.03.1971;28,05;;;
14.04.1971;27,97;;;
12.05.1971;27,81;;;
23.06.1971;28,02;;;
14.07.1971;28,22;;;
11.08.1971;27,8;;;
21.09.1971;27,66;;;
13.10.1971;27,2;;;
10.11.1971;27,05;;;
08.12.1971;27,15;;;
12.01.1972;27,21;;;
09.02.1972;27;;;
15.03.1972;27,02;;;
11.04.1972;27,05;;;
09.05.1972;27,43;;;
08.06.1972;27,68;;;
05.07.1972;27,88;;;
08.08.1972;27,92;;;
07.09.1972;27,8;;;
04.10.1972;27,2;;;
07.11.1972;26,4;;;
06.12.1972;27,13;;;
09.01.1973;27,05;;;
07.02.1973;26,63;;;
13.03.1973;26,96;;;
09.04.1973;27,02;;;
08.05.1973;27,36;;;
12.06.1973;27,6;;;
05.07.1973;27,73;;;
08.08.1973;28,03;;;
11.09.1973;27,7;;;
10.10.1973;27,32;;;
08.11.1973;27,39;;;
05.12.1973;27,6;;;
03.01.1974;28,18;;;
15.02.1974;28,38;;;
06.03.1974;28,55;;;
03.04.1974;28,4;;;
14.05.1974;27,84;;;
05.06.1974;27,64;;;
05.07.1974;27,74;;;
23.08.1974;27,92;;;
04.09.1974;27,79;;;
02.10.1974;27,39;;;
07.11.1974;27,96;;;
04.12.1974;28,43;;;
14.01.1975;29,76;;;
05.02.1975;29,68;;;
11.03.1975;29,07;;;
03.04.1975;28,86;;;
05.06.1975;28,58;;;
16.07.1975;28,83;;;
06.08.1975;28,82;;;
17.09.1975;27,9;;;
15.10.1975;27,18;;;
27.01.1976;26,6;;;
13.02.1976;26,75;;;
03.03.1976;26,8;;;
06.04.1976;26,62;;;
06.05.1976;26,78;;;
02.06.1976;26,85;;;
27.07.1976;26,59;;;
01.09.1976;26,7;;;
13.10.1976;26,8;;;
10.11.1976;26,78;;;
08.12.1976;26,82;;;
12.01.1977;27,22;;;
09.02.1977;27,75;;;
16.03.1977;28,82;;;
13.04.1977;28,52;;;
20.05.1977;28,69;;;
15.06.1977;28,56;;;
10.08.1977;28,12;;;
14.09.1977;28,07;;;
12.10.1977;27,58;;;
18.11.1977;27,52;;;
18.01.1978;28,44;;;
15.02.1978;28,55;;;
15.03.1978;28,8;;;
12.04.1978;29,43;;;
10.05.1978;29,1;;;
12.07.1978;29,15;;;
16.08.1978;29,14;;;
13.09.1978;28,75;;;
17.10.1978;28,23;;;
15.11.1978;27,95;;;
13.12.1978;27,46;;;
17.01.1979;28,11;;;
21.02.1979;28,89;;;
21.03.1979;29,3;;;
16.05.1979;28,97;;;
19.06.1979;28,65;;;
15.08.1979;28,21;;;
12.09.1979;28,06;;;
17.10.1979;27,65;;;
14.11.1979;27,7;;;
19.12.1979;28,91;;;
16.01.1980;29,05;;;
15.02.1980;29,54;;;
12.03.1980;29,18;;;
11.04.1980;28,61;;;
07.05.1980;28,35;;;
23.07.1980;28,46;;;
29.08.1980;28,21;;;
24.09.1980;27,75;;;
12.11.1980;27,35;;;
17.12.1980;27,14;;;
14.01.1981;27,79;;;
17.02.1981;28,18;;;
18.03.1981;28,02;;;
15.05.1981;27,83;;;
09.06.1981;27,58;;;
14.07.1981;27,3;;;
12.08.1981;27,39;;;
23.09.1981;27;;;
21.10.1981;27,34;;;
24.11.1981;27,93;;;
20.01.1982;29,42;;;
16.02.1982;29,25;;;
17.03.1982;28,34;;;
18.05.1982;27,71;;;
18.06.1982;27,5;;;
20.10.1982;27,1;;;
14.01.1983;28,2;;;
17.03.1983;28,25;;;
05.05.1983;29,65;;;
30.06.1983;30,16;;;
22.09.1983;28,3;;;
08.12.1983;27,66;;;
23.02.1984;29,34;;;
03.05.1984;28,12;;;
05.07.1984;28,37;;;
23.08.1984;27,88;;;
29.10.1984;28,15;;;
20.12.1984;27,8;;;
27.02.1985;28,03;;;
01.04.1985;27,95;;;
03.06.1985;28,48;;;
05.08.1985;28,68;;;
02.12.1985;27,17;;;
03.02.1986;28,24;;;
07.04.1986;28,63;;;
27.11.1986;28,23;;;
29.01.1987;29,08;;;
30.03.1987;29,47;;;
03.08.1987;30,13;;;
01.10.1987;29,15;;;
08.12.1987;28,8;;;
28.01.1988;29,04;;;
04.03.1988;29,78;;;
28.03.1988;30,36;;;
08.06.1988;29,98;;;
28.07.1988;29,26;;;
03.10.1988;28,3;;;
05.12.1988;28,1;;;
06.02.1989;28,95;;;
03.04.1989;28,84;;;
05.06.1989;29,02;;;
07.08.1989;28,2;;;
02.10.1989;27,79;;;
04.12.1989;27,6;;;
05.02.1990;27,96;;;
02.04.1990;29;;;
04.06.1990;28,17;;;
06.08.1990;28,2;;;
01.10.1990;27,48;;;
03.12.1990;27,82;;;
04.02.1991;28,83;;;
03.06.1991;27,8;;;
05.08.1991;27,97;;;
07.10.1991;27,16;;;
02.12.1991;27,48;;;
03.02.1992;27,86;;;
06.04.1992;28,12;;;
01.06.1992;28,29;;;
03.08.1992;28,2;;;
05.10.1992;27,64;;;
07.12.1992;28,2;;;
01.02.1993;28,77;;;
05.04.1993;28,14;;;
07.06.1993;27,9;;;
02.08.1993;28,14;;;
27.09.1993;28,19;;;
29.11.1993;28,32;;;
17.01.1994;30,27;;;
18.01.1994;30,28;;;
19.01.1994;30,35;;;
31.01.1994;30,41;;;
05.04.1994;29,98;;;
06.06.1994;29,77;;;
25.07.1994;29,03;;;
05.10.1994;28,4;;;
28.12.1994;28,16;;;
02.02.1995;29,5;;;
21.03.1995;30,4;;;
12.06.1995;30,03;;;
03.08.1995;29,33;;;
