x;y;Latitude;Longitude;Street
14.01.1970;30,99;51.206.063;6.860.008;Dechenweg
11.02.1970;31,21;;;
11.03.1970;32,97;;;
09.04.1970;33,13;;;
06.05.1970;33,17;;;
16.06.1970;32,19;;;
15.07.1970;32,84;;;
12.08.1970;32,72;;;
16.09.1970;32,46;;;
14.10.1970;32,29;;;
11.11.1970;32,11;;;
09.12.1970;31,93;;;
13.01.1971;31,75;;;
10.02.1971;31,62;;;
17.03.1971;31,48;;;
14.04.1971;31,3;;;
12.05.1971;31,18;;;
23.06.1971;31,16;;;
14.07.1971;31,29;;;
11.08.1971;31,21;;;
21.09.1971;30,88;;;
13.10.1971;30,76;;;
10.11.1971;30,53;;;
08.12.1971;30,39;;;
12.01.1972;30,4;;;
09.02.1972;30,31;;;
15.03.1972;30,31;;;
11.04.1972;30,03;;;
09.05.1972;30,2;;;
08.06.1972;30,36;;;
05.07.1972;30,5;;;
08.08.1972;30,64;;;
06.09.1972;30,74;;;
04.10.1972;30,56;;;
07.11.1972;30,32;;;
06.12.1972;30,35;;;
09.01.1973;30,61;;;
14.02.1973;30,44;;;
13.03.1973;30,49;;;
10.04.1973;30,51;;;
09.05.1973;30,59;;;
12.06.1973;30,77;;;
05.07.1973;30,75;;;
15.08.1973;30,85;;;
12.09.1973;30,67;;;
17.10.1973;30,5;;;
09.11.1973;30,44;;;
11.12.1973;30,51;;;
09.01.1974;30,77;;;
19.02.1974;31,18;;;
12.03.1974;31,24;;;
10.04.1974;31,31;;;
15.05.1974;31,11;;;
11.06.1974;30,89;;;
09.07.1974;30,86;;;
23.08.1974;30,94;;;
11.09.1974;30,88;;;
09.10.1974;30,75;;;
12.11.1974;31,04;;;
10.12.1974;31,61;;;
15.01.1975;32,66;;;
18.02.1975;32,63;;;
12.03.1975;32,46;;;
04.04.1975;32,25;;;
05.06.1975;32,04;;;
16.07.1975;31,96;;;
06.08.1975;32,1;;;
17.09.1975;31,9;;;
15.10.1975;31,8;;;
21.11.1975;31,47;;;
17.12.1975;31,46;;;
13.02.1976;31,5;;;
23.03.1976;31,43;;;
21.04.1976;31,23;;;
19.05.1976;31,01;;;
15.06.1976;30,88;;;
28.09.1976;30,49;;;
02.11.1976;30,41;;;
08.03.1977;31,3;;;
20.04.1977;31,55;;;
25.05.1977;31,63;;;
22.06.1977;31,57;;;
23.08.1977;31,46;;;
21.09.1977;31,39;;;
25.10.1977;31,16;;;
