x;y;Latitude;Longitude;Street;
07.01.1900;28,89;51.228.684;6.784.439;Goltsteinstraße;
13.01.1900;29,28;;;;
20.01.1900;29,19;;;;
29.01.1900;30,03;;;;
03.02.1900;30,09;;;;
10.02.1900;30,25;;;;
17.02.1900;30,38;;;;
24.02.1900;30,69;;;;
03.03.1900;30,87;;;;
10.03.1900;30,69;;;;
17.03.1900;30,53;;;;
24.03.1900;30,34;;;;
31.03.1900;30,34;;;;
07.04.1900;30,34;;;;
14.04.1900;30,29;;;;
21.04.1900;30,16;;;;
28.04.1900;30,16;;;;
05.05.1900;30,06;;;;
12.05.1900;29,94;;;;
19.05.1900;29,89;;;;
26.05.1900;29,89;;;;
02.06.1900;29,85;;;;
09.06.1900;29,85;;;;
16.06.1900;29,84;;;;
23.06.1900;29,77;;;;
30.06.1900;29,71;;;;
07.07.1900;29,76;;;;
14.07.1900;29,84;;;;
21.07.1900;29,94;;;;
28.07.1900;29,84;;;;
04.08.1900;29,84;;;;
11.08.1900;29,62;;;;
18.08.1900;29,54;;;;
25.08.1900;29,44;;;;
01.09.1900;29,44;;;;
08.09.1900;29,39;;;;
15.09.1900;29,39;;;;
22.09.1900;29,44;;;;
29.09.1900;29,04;;;;
06.10.1900;28,94;;;;
13.10.1900;28,94;;;;
20.10.1900;28,83;;;;
27.10.1900;28,79;;;;
03.11.1900;28,65;;;;
10.11.1900;28,99;;;;
17.11.1900;28,84;;;;
24.11.1900;28,89;;;;
01.12.1900;28,79;;;;
07.12.1900;28,69;;;;
15.12.1900;28,72;;;;
22.12.1900;28,75;;;;
29.12.1900;28,81;;;;
05.01.1901;28,89;;;;
12.01.1901;28,96;;;;
19.01.1901;29,16;;;;
26.01.1901;29,06;;;;
01.02.1901;29,04;;;;
09.02.1901;29,39;;;;
16.02.1901;29,14;;;;
23.02.1901;29,14;;;;
02.03.1901;28,88;;;;
09.03.1901;28,64;;;;
16.03.1901;29,78;;;;
23.03.1901;29,84;;;;
30.03.1901;29,69;;;;
06.04.1901;29,82;;;;
13.04.1901;30;;;;
20.04.1901;30,74;;;;
27.04.1901;30,59;;;;
04.05.1901;30,64;;;;
11.05.1901;30,45;;;;
18.05.1901;30,14;;;;
25.05.1901;30,19;;;;
01.06.1901;29,88;;;;
08.06.1901;29,89;;;;
15.06.1901;29,74;;;;
22.06.1901;29,82;;;;
