x;y;Latitude;Longitude;Street
19.08.1932;39,09;51.212.214;6.858.887;In den Kötten
25.08.1932;39,08;;;
01.09.1932;38,99;;;
08.09.1932;38,99;;;
15.09.1932;38,94;;;
22.09.1932;38,99;;;
29.09.1932;39,16;;;
06.10.1932;39,17;;;
13.10.1932;39,41;;;
20.10.1932;39,39;;;
27.10.1932;39,24;;;
03.11.1932;40,62;;;
10.11.1932;40,26;;;
18.11.1932;39,91;;;
24.11.1932;39,91;;;
01.12.1932;40,06;;;
08.12.1932;39,92;;;
15.12.1932;39,79;;;
22.12.1932;39,63;;;
29.12.1932;39,76;;;
03.01.1933;39,78;;;
10.01.1933;40,25;;;
17.01.1933;40,22;;;
24.01.1933;39,94;;;
31.01.1933;39,57;;;
07.02.1933;40,23;;;
14.02.1933;39,4;;;
21.02.1933;40,07;;;
28.02.1933;39,82;;;
07.03.1933;40,3;;;
14.03.1933;39,9;;;
23.03.1933;39,67;;;
28.03.1933;39,66;;;
04.04.1933;39,54;;;
11.04.1933;39,51;;;
20.04.1933;39,4;;;
25.04.1933;39,35;;;
02.05.1933;39,3;;;
09.05.1933;39,27;;;
16.05.1933;39,34;;;
23.05.1933;39,25;;;
30.05.1933;39,35;;;
06.06.1933;39,2;;;
13.06.1933;39,28;;;
20.06.1933;39,32;;;
27.06.1933;39,19;;;
04.07.1933;39,19;;;
11.07.1933;39,16;;;
18.07.1933;39,13;;;
25.07.1933;39,04;;;
01.08.1933;39;;;
08.08.1933;38,97;;;
15.08.1933;38,92;;;
22.08.1933;38,96;;;
31.08.1933;38,87;;;
05.09.1933;38,85;;;
12.09.1933;38,83;;;
19.09.1933;38,8;;;
26.09.1933;38,78;;;
03.10.1933;38,77;;;
10.10.1933;38,8;;;
17.10.1933;38,8;;;
02.01.1934;38,77;;;
09.01.1934;38,8;;;
16.01.1934;38,8;;;
23.01.1934;38,77;;;
30.01.1934;38,8;;;
06.02.1934;38,78;;;
13.02.1934;38,9;;;
20.02.1934;38,8;;;
27.02.1934;38,89;;;
06.03.1934;38,9;;;
13.03.1934;38,87;;;
20.03.1934;38,9;;;
27.03.1934;38,88;;;
03.04.1934;38,86;;;
10.04.1934;38,84;;;
17.04.1934;38,86;;;
24.04.1934;38,83;;;
01.05.1934;38,83;;;
08.05.1934;38,81;;;
15.05.1934;38,82;;;
22.05.1934;38,76;;;
29.05.1934;38,78;;;
05.06.1934;38,74;;;
12.06.1934;38,67;;;
19.06.1934;38,65;;;
26.06.1934;38,62;;;
03.07.1934;38,62;;;
10.07.1934;38,6;;;
17.07.1934;38,56;;;
24.07.1934;38,57;;;
31.07.1934;38,54;;;
07.08.1934;38,57;;;
14.08.1934;38,5;;;
21.08.1934;38,52;;;
28.08.1934;38,48;;;
04.09.1934;38,44;;;
11.09.1934;38,47;;;
18.09.1934;38,41;;;
25.09.1934;38,42;;;
02.10.1934;38,5;;;
09.10.1934;38,45;;;
16.10.1934;38,36;;;
24.10.1934;38,35;;;
30.10.1934;38,36;;;
06.11.1934;38,35;;;
13.11.1934;38,35;;;
20.11.1934;38,36;;;
27.11.1934;38,33;;;
04.12.1934;38,32;;;
11.12.1934;38,33;;;
18.12.1934;38,38;;;
02.01.1935;38,47;;;
08.01.1935;38,58;;;
16.01.1935;38,63;;;
22.01.1935;38,6;;;
29.01.1935;38,8;;;
05.02.1935;39,56;;;
12.02.1935;39,4;;;
19.02.1935;39,83;;;
26.02.1935;39,77;;;
