x;y;Latitude;Longitude;Street
09.01.1956;30,49;51.170.399;6.822.083;Itterstraﬂe
08.02.1956;31,04;;;
20.03.1956;31,54;;;
11.04.1956;31,09;;;
05.05.1956;31,47;;;
04.06.1956;30,87;;;
11.07.1956;31,25;;;
06.08.1956;31,62;;;
18.09.1956;31,79;;;
10.10.1956;31,73;;;
07.11.1956;31,58;;;
10.12.1956;31,45;;;
16.01.1957;31,34;;;
18.02.1957;31,14;;;
13.03.1957;32,94;;;
03.04.1957;32,55;;;
06.05.1957;31,59;;;
03.06.1957;30,97;;;
10.07.1957;30,98;;;
07.08.1957;31,2;;;
02.09.1957;31,16;;;
09.10.1957;31,67;;;
06.11.1957;31,15;;;
05.12.1957;30,5;;;
22.01.1958;30,82;;;
10.02.1958;31,14;;;
01.03.1958;32,77;;;
14.04.1958;32,54;;;
07.05.1958;32,01;;;
04.06.1958;32,49;;;
09.07.1958;32,1;;;
11.08.1958;31,76;;;
08.09.1958;31,7;;;
06.10.1958;31,19;;;
05.11.1958;31,31;;;
03.12.1958;31,17;;;
05.01.1959;31,69;;;
16.02.1959;32,39;;;
09.03.1959;31,56;;;
06.04.1959;31,24;;;
04.05.1959;31,11;;;
01.06.1959;31,11;;;
06.07.1959;31,01;;;
03.08.1959;30,75;;;
23.09.1959;30,07;;;
07.10.1959;29,8;;;
09.11.1959;29,36;;;
09.12.1959;29,29;;;
06.01.1960;29,34;;;
08.02.1960;30,02;;;
14.03.1960;30,46;;;
14.04.1960;30,26;;;
23.05.1960;29,65;;;
20.06.1960;30,02;;;
20.07.1960;30,22;;;
17.08.1960;30,52;;;
14.09.1960;31,22;;;
14.10.1960;31,04;;;
09.11.1960;31,73;;;
15.12.1960;32,42;;;
11.01.1961;32,32;;;
23.02.1961;32,94;;;
10.03.1961;32,53;;;
06.04.1961;31,12;;;
04.05.1961;30,79;;;
19.06.1961;31,92;;;
18.07.1961;31,96;;;
15.08.1961;31,64;;;
29.09.1961;30,89;;;
16.10.1961;30,54;;;
13.11.1961;30,44;;;
20.12.1961;30,85;;;
16.01.1962;31,48;;;
12.02.1962;32,26;;;
19.03.1962;32,32;;;
05.04.1962;32,01;;;
10.05.1962;32,54;;;
04.06.1962;32,35;;;
16.07.1962;31,66;;;
13.08.1962;31,11;;;
05.09.1962;31,05;;;
08.10.1962;30,26;;;
07.11.1962;29,95;;;
10.12.1962;29,57;;;
18.02.1963;29,49;;;
11.03.1963;29,44;;;
09.04.1963;30,59;;;
13.05.1963;30,97;;;
12.06.1963;31,04;;;
17.07.1963;31,1;;;
14.08.1963;30,74;;;
25.09.1963;30,78;;;
09.10.1963;30,59;;;
06.11.1963;30,44;;;
04.12.1963;31,09;;;
14.01.1964;30,4;;;
12.02.1964;29,97;;;
11.03.1964;30,11;;;
09.04.1964;30,5;;;
13.05.1964;30,71;;;
10.06.1964;30,93;;;
15.07.1964;30,39;;;
12.08.1964;29,84;;;
18.09.1964;29,52;;;
21.10.1964;29,42;;;
19.11.1964;29,82;;;
16.12.1964;30,17;;;
13.01.1965;30,31;;;
10.02.1965;31,12;;;
17.03.1965;30,57;;;
14.04.1965;31,73;;;
12.05.1965;32,41;;;
24.06.1965;33,1;;;
21.07.1965;33,02;;;
04.08.1965;32,86;;;
01.09.1965;32,01;;;
06.10.1965;32,06;;;
02.11.1965;31,46;;;
15.12.1965;32,52;;;
12.01.1966;34,06;;;
09.02.1966;32,94;;;
16.03.1966;32,8;;;
13.04.1966;32,74;;;
11.05.1966;32,91;;;
15.06.1966;32,14;;;
13.07.1966;32,3;;;
10.08.1966;32,44;;;
14.09.1966;32,19;;;
12.10.1966;31,44;;;
09.11.1966;31,14;;;
14.12.1966;31,72;;;
11.01.1967;33,84;;;
08.02.1967;33,11;;;
15.03.1967;32,76;;;
11.04.1967;32,64;;;
17.05.1967;32,06;;;
14.06.1967;32,07;;;
12.07.1967;32,07;;;
09.08.1967;31,72;;;
06.09.1967;31,22;;;
11.10.1967;31,22;;;
15.11.1967;31,01;;;
13.12.1967;31,05;;;
17.01.1968;32,65;;;
14.02.1968;32,83;;;
13.03.1968;32,4;;;
10.04.1968;32,19;;;
08.05.1968;32,04;;;
18.06.1968;31,61;;;
