x;y;Latitude;Longitude;Street;
01.09.1971;27,1;51.243.648;6.772.679;Kennedydamm;
01.10.1971;26,67;;;;
01.11.1971;26,47;;;;
01.12.1971;26,71;;;;
01.01.1972;26,75;;;;
01.02.1972;26,44;;;;
01.03.1972;26,55;;;;
01.04.1972;26,28;;;;
01.05.1972;27;;;;
07.06.1972;27,2;;;;
03.07.1972;27,28;;;;
01.08.1972;26,88;;;;
01.09.1972;26,5;;;;
02.10.1972;26,1;;;;
02.11.1972;26,2;;;;
01.12.1972;27,66;;;;
01.02.1973;26,38;;;;
06.03.1973;26,84;;;;
03.04.1973;26,98;;;;
03.05.1973;27,41;;;;
04.06.1973;27,54;;;;
02.07.1973;27,62;;;;
01.08.1973;27,56;;;;
03.09.1973;26,53;;;;
01.10.1973;26,05;;;;
02.11.1973;26,31;;;;
03.12.1973;26,24;;;;
01.01.1974;26,98;;;;
01.02.1974;26,77;;;;
01.03.1974;26,71;;;;
04.04.1974;26,89;;;;
13.05.1974;26,3;;;;
01.06.1974;26,63;;;;
01.07.1974;27,05;;;;
01.08.1974;27,41;;;;
10.09.1974;26,86;;;;
03.10.1974;26,76;;;;
08.11.1974;28,04;;;;
02.12.1974;28,28;;;;
01.01.1975;28,78;;;;
03.02.1975;26,98;;;;
01.03.1975;26,03;;;;
04.04.1975;26,3;;;;
01.05.1975;26,53;;;;
01.06.1975;26,45;;;;
01.07.1975;27,84;;;;
01.08.1975;27,97;;;;
01.09.1975;27,91;;;;
01.10.1975;27,48;;;;
01.11.1975;26,86;;;;
01.12.1975;26,98;;;;
01.01.1976;26,46;;;;
01.02.1976;27,23;;;;
01.03.1976;26,95;;;;
01.04.1976;26,42;;;;
01.05.1976;26,34;;;;
01.06.1976;26,35;;;;
01.07.1976;26,28;;;;
01.08.1976;26,37;;;;
01.09.1976;26,05;;;;
01.10.1976;26,19;;;;
01.11.1976;26,13;;;;
01.12.1976;26,12;;;;
01.01.1977;26,27;;;;
01.02.1977;27,2;;;;
01.03.1977;28,22;;;;
01.04.1977;27,04;;;;
01.05.1977;27,82;;;;
01.06.1977;27,83;;;;
01.07.1977;27,73;;;;
01.08.1977;27,51;;;;
01.09.1977;27,75;;;;
01.10.1977;27,05;;;;
01.11.1977;26,76;;;;
01.12.1977;28,03;;;;
04.01.1978;28,18;;;;
01.02.1978;27,96;;;;
01.03.1978;28,42;;;;
01.04.1978;29,36;;;;
03.05.1978;28,02;;;;
01.06.1978;29,2;;;;
05.07.1978;28,38;;;;
02.08.1978;28,24;;;;
01.09.1978;27,96;;;;
03.10.1978;27,4;;;;
01.11.1978;27,22;;;;
06.12.1978;26,68;;;;
05.01.1979;28,29;;;;
16.02.1979;29,27;;;;
20.03.1979;29,52;;;;
07.04.1979;29,26;;;;
08.05.1979;28,68;;;;
10.06.1979;28,53;;;;
03.07.1979;28,32;;;;
01.08.1979;27,58;;;;
01.09.1979;27,56;;;;
03.10.1979;27,14;;;;
20.11.1979;27,98;;;;
31.12.1979;28,49;;;;
11.01.1980;28,54;;;;
11.02.1980;29,79;;;;
04.03.1980;28,38;;;;
08.04.1980;28,28;;;;
07.05.1980;27,94;;;;
30.06.1980;28,66;;;;
25.07.1980;29,13;;;;
06.08.1980;28,5;;;;
04.09.1980;27,54;;;;
31.10.1980;27,08;;;;
04.11.1980;27,08;;;;
31.12.1980;27,86;;;;
24.01.1981;28,1;;;;
13.02.1981;28,42;;;;
19.03.1981;28,67;;;;
01.04.1981;28,52;;;;
06.05.1981;27,68;;;;
08.06.1981;27,78;;;;
29.07.1981;27,58;;;;
15.08.1981;27,81;;;;
01.09.1981;28,7;;;;
25.10.1981;28,5;;;;
05.11.1981;28,58;;;;
21.12.1981;29,41;;;;
11.01.1982;29,98;;;;
06.02.1982;29,62;;;;
20.10.1982;27,84;;;;
26.11.1982;27,56;;;;
28.12.1982;28,9;;;;
14.01.1983;28,48;;;;
06.02.1983;28,74;;;;
17.03.1983;27,82;;;;
30.03.1983;28,34;;;;
17.04.1983;29,82;;;;
05.05.1983;28,91;;;;
31.05.1983;30,16;;;;
30.06.1983;28,78;;;;
15.07.1983;28,36;;;;
03.08.1983;27,9;;;;
22.09.1983;27,51;;;;
15.10.1983;27,16;;;;
15.11.1983;26,9;;;;
08.12.1983;27,22;;;;
22.01.1984;28,39;;;;
13.02.1984;29,6;;;;
23.02.1984;28,58;;;;
14.03.1984;27,74;;;;
11.04.1984;28,14;;;;
31.05.1984;28,14;;;;
10.06.1984;28,76;;;;
05.07.1984;28,02;;;;
10.07.1984;27,97;;;;
23.08.1984;27,54;;;;
30.09.1984;28,14;;;;
05.10.1984;28,32;;;;
29.10.1984;27,89;;;;
23.11.1984;27,16;;;;
30.11.1984;28,11;;;;
04.12.1984;27,94;;;;
20.12.1984;27,34;;;;
08.01.1985;27,34;;;;
31.01.1985;27,92;;;;
08.02.1985;28,62;;;;
27.02.1985;27,75;;;;
11.03.1985;27,7;;;;
01.04.1985;27,8;;;;
18.04.1985;28,18;;;;
06.05.1985;27,92;;;;
07.05.1985;27,96;;;;
08.05.1985;27,97;;;;
09.05.1985;27,96;;;;
10.05.1985;27,94;;;;
11.05.1985;27,96;;;;
12.05.1985;28,03;;;;
13.05.1985;28,13;;;;
14.05.1985;28,22;;;;
15.05.1985;28,27;;;;
16.05.1985;28,28;;;;
17.05.1985;28,26;;;;
18.05.1985;28,24;;;;
19.05.1985;28,21;;;;
20.05.1985;28,2;;;;
21.05.1985;28,2;;;;
22.05.1985;28,23;;;;
23.05.1985;28,25;;;;
24.05.1985;28,29;;;;
25.05.1985;28,32;;;;
26.05.1985;28,35;;;;
27.05.1985;28,36;;;;
28.05.1985;28,32;;;;
29.05.1985;28,3;;;;
30.05.1985;28,25;;;;
31.05.1985;28,24;;;;
01.06.1985;28,28;;;;
02.06.1985;28,34;;;;
03.06.1985;28,32;;;;
04.06.1985;28,28;;;;
05.06.1985;28,24;;;;
06.06.1985;28,21;;;;
07.06.1985;28,19;;;;
08.06.1985;28,17;;;;
09.06.1985;28,15;;;;
10.06.1985;28,15;;;;
11.06.1985;28,15;;;;
12.06.1985;28,18;;;;
13.06.1985;28,23;;;;
14.06.1985;28,26;;;;
15.06.1985;28,27;;;;
16.06.1985;28,27;;;;
17.06.1985;28,27;;;;
18.06.1985;28,26;;;;
19.06.1985;28,24;;;;
20.06.1985;28,28;;;;
21.06.1985;28,26;;;;
22.06.1985;28,3;;;;
23.06.1985;28,33;;;;
24.06.1985;28,34;;;;
25.06.1985;28,35;;;;
26.06.1985;28,35;;;;
27.06.1985;28,34;;;;
28.06.1985;28,38;;;;
29.06.1985;28,42;;;;
30.06.1985;28,42;;;;
01.07.1985;28,42;;;;
02.07.1985;28,41;;;;
03.07.1985;28,38;;;;
04.07.1985;28,34;;;;
05.07.1985;28,32;;;;
06.07.1985;28,32;;;;
07.07.1985;28,25;;;;
08.07.1985;28,23;;;;
09.07.1985;28,24;;;;
10.07.1985;28,23;;;;
11.07.1985;28,23;;;;
12.07.1985;28,22;;;;
13.07.1985;28,2;;;;
14.07.1985;28,2;;;;
15.07.1985;28,16;;;;
16.07.1985;28,14;;;;
17.07.1985;28,11;;;;
18.07.1985;28,08;;;;
19.07.1985;28,05;;;;
20.07.1985;28,02;;;;
21.07.1985;28;;;;
22.07.1985;27,98;;;;
23.07.1985;27,97;;;;
24.07.1985;27,95;;;;
25.07.1985;27,93;;;;
26.07.1985;27,92;;;;
27.07.1985;27,89;;;;
28.07.1985;27,86;;;;
29.07.1985;27,89;;;;
30.07.1985;27,88;;;;
31.07.1985;27,85;;;;
01.08.1985;27,83;;;;
02.08.1985;27,8;;;;
03.08.1985;27,79;;;;
04.08.1985;27,78;;;;
05.08.1985;27,77;;;;
06.08.1985;27,75;;;;
07.08.1985;27,73;;;;
08.08.1985;27,71;;;;
09.08.1985;27,69;;;;
10.08.1985;27,68;;;;
11.08.1985;27,68;;;;
