x;y;Latitude;Longitude;Street;
01.01.1971;28,31;51.224.360;6.782.128;Martin-Luther-Platz;
01.02.1971;28,09;;;;
01.03.1971;27,99;;;;
01.04.1971;27,78;;;;
01.05.1971;27,56;;;;
01.06.1971;27,48;;;;
01.07.1971;27,79;;;;
01.08.1971;27,17;;;;
01.09.1971;26,77;;;;
01.10.1971;26,71;;;;
01.11.1971;26,7;;;;
01.12.1971;26,9;;;;
01.01.1972;27,02;;;;
01.02.1972;26,85;;;;
01.03.1972;26,91;;;;
01.04.1972;26,68;;;;
01.05.1972;27,15;;;;
07.06.1972;27,29;;;;
03.07.1972;27,43;;;;
01.08.1972;27,33;;;;
01.09.1972;26,81;;;;
02.10.1972;26,41;;;;
02.11.1972;26,21;;;;
01.12.1972;27,21;;;;
02.01.1973;27,12;;;;
01.02.1973;26,66;;;;
06.03.1973;26,99;;;;
03.04.1973;26,97;;;;
03.05.1973;27,22;;;;
04.06.1973;27,38;;;;
02.07.1973;27,24;;;;
01.08.1973;27,43;;;;
03.09.1973;27,12;;;;
01.10.1973;26,8;;;;
02.11.1973;26,97;;;;
01.12.1973;27,09;;;;
01.01.1974;27,59;;;;
01.02.1974;27,71;;;;
01.03.1974;27,81;;;;
13.05.1974;27,16;;;;
01.06.1974;27,19;;;;
01.07.1974;27,29;;;;
01.08.1974;27,55;;;;
10.09.1974;27,25;;;;
03.10.1974;26,8;;;;
08.11.1974;27,6;;;;
02.12.1974;27,81;;;;
01.01.1975;28,97;;;;
03.02.1975;29,12;;;;
01.03.1975;28,77;;;;
04.04.1975;28,39;;;;
01.05.1975;28,52;;;;
01.06.1975;28,18;;;;
01.07.1975;28,17;;;;
01.08.1975;28,29;;;;
01.09.1975;27,23;;;;
01.10.1975;25,41;;;;
01.01.1976;24,12;;;;
01.02.1976;24,52;;;;
01.03.1976;24,42;;;;
01.04.1976;24,65;;;;
01.05.1976;25,64;;;;
01.06.1976;25,82;;;;
01.07.1976;25,79;;;;
01.08.1976;25,49;;;;
01.09.1976;25,81;;;;
01.10.1976;25,81;;;;
01.11.1976;26,25;;;;
01.12.1976;26,31;;;;
01.01.1977;26,72;;;;
01.02.1977;27,07;;;;
01.03.1977;28,27;;;;
05.04.1977;27,83;;;;
01.05.1977;28,05;;;;
01.06.1977;28,13;;;;
01.07.1977;27,96;;;;
01.09.1977;27,75;;;;
01.10.1977;27,34;;;;
01.11.1977;26,95;;;;
01.12.1977;27,7;;;;
01.01.1978;27,81;;;;
01.02.1978;28,07;;;;
01.03.1978;28,12;;;;
01.04.1978;28,83;;;;
02.05.1978;28,37;;;;
01.06.1978;28,68;;;;
04.07.1978;28,59;;;;
01.08.1978;28,53;;;;
01.09.1978;28,39;;;;
04.10.1978;27,87;;;;
01.11.1978;27,69;;;;
05.12.1978;27,33;;;;
31.01.1979;27,81;;;;
01.02.1979;27,85;;;;
31.03.1979;29,39;;;;
09.04.1979;29,4;;;;
03.05.1979;28,99;;;;
10.06.1979;28,64;;;;
03.07.1979;28,54;;;;
03.08.1979;28,07;;;;
01.09.1979;27,87;;;;
02.10.1979;27,52;;;;
24.11.1979;27,91;;;;
27.12.1979;28,75;;;;
14.01.1980;28,73;;;;
11.02.1980;28,75;;;;
04.03.1980;27,44;;;;
01.04.1980;26,61;;;;
12.05.1980;26,06;;;;
03.06.1980;25,78;;;;
15.07.1980;24,21;;;;
05.08.1980;23,71;;;;
30.09.1980;23,99;;;;
31.10.1980;23,97;;;;
03.11.1980;23,97;;;;
02.12.1980;23,55;;;;
30.01.1981;23,57;;;;
02.02.1981;23,57;;;;
31.03.1981;23,54;;;;
01.04.1981;23,54;;;;
05.05.1981;23,53;;;;
02.06.1981;23,51;;;;
28.07.1981;23,47;;;;
01.08.1981;23,47;;;;
01.09.1981;23,47;;;;
01.10.1981;23,45;;;;
01.11.1981;23,45;;;;
22.12.1981;23,89;;;;
16.01.1982;23,99;;;;
22.02.1982;23,91;;;;
01.10.1982;23,54;;;;
31.12.1982;23,91;;;;
14.01.1983;23,91;;;;
28.01.1983;24,09;;;;
14.02.1983;24,31;;;;
17.03.1983;24,31;;;;
29.03.1983;26,4;;;;
26.04.1983;28,53;;;;
05.05.1983;28,71;;;;
30.06.1983;29,33;;;;
15.07.1983;29,01;;;;
02.08.1983;28,57;;;;
22.09.1983;27,81;;;;
15.10.1983;27,58;;;;
15.11.1983;27,39;;;;
08.12.1983;27,37;;;;
31.01.1984;28,23;;;;
01.02.1984;28,23;;;;
23.02.1984;26,31;;;;
31.03.1984;26,07;;;;
16.04.1984;26,36;;;;
03.05.1984;26,15;;;;
15.05.1984;25,44;;;;
13.06.1984;25,74;;;;
05.07.1984;25,48;;;;
14.07.1984;25,43;;;;
23.08.1984;25,01;;;;
28.09.1984;25,1;;;;
29.10.1984;25,43;;;;
30.11.1984;25,47;;;;
20.12.1984;25,57;;;;
04.01.1985;25,95;;;;
27.02.1985;25,8;;;;
11.03.1985;25,79;;;;
01.04.1985;25,87;;;;
18.04.1985;26,03;;;;
15.05.1985;26,31;;;;
03.06.1985;26,27;;;;
14.06.1985;27,64;;;;
30.06.1985;28,11;;;;
12.07.1985;28,2;;;;
05.08.1985;27,91;;;;
31.08.1985;27,83;;;;
11.09.1985;27,79;;;;
02.10.1985;27,27;;;;
03.10.1985;27,26;;;;
04.10.1985;27,25;;;;
05.10.1985;27,2;;;;
06.10.1985;27,18;;;;
07.10.1985;27,16;;;;
08.10.1985;27,06;;;;
09.10.1985;26,99;;;;
10.10.1985;26,96;;;;
11.10.1985;26,92;;;;
12.10.1985;26,9;;;;
13.10.1985;26,86;;;;
14.10.1985;26,83;;;;
15.10.1985;26,83;;;;
16.10.1985;26,8;;;;
17.10.1985;26,79;;;;
18.10.1985;26,72;;;;
19.10.1985;26,76;;;;
20.10.1985;26,76;;;;
21.10.1985;26,74;;;;
22.10.1985;26,73;;;;
23.10.1985;26,7;;;;
24.10.1985;26,66;;;;
25.10.1985;26,65;;;;
26.10.1985;26,63;;;;
27.10.1985;26,63;;;;
28.10.1985;26,65;;;;
29.10.1985;26,76;;;;
30.10.1985;26,77;;;;
31.10.1985;26,7;;;;
01.11.1985;26,71;;;;
02.11.1985;26,72;;;;
03.11.1985;26,7;;;;
04.11.1985;26,7;;;;
05.11.1985;26,69;;;;
06.11.1985;26,63;;;;
07.11.1985;26,61;;;;
08.11.1985;26,6;;;;
09.11.1985;26,58;;;;
10.11.1985;26,59;;;;
11.11.1985;26,65;;;;
12.11.1985;26,67;;;;
13.11.1985;26,61;;;;
14.11.1985;26,59;;;;
15.11.1985;26,58;;;;
16.11.1985;26,58;;;;
17.11.1985;26,58;;;;
18.11.1985;26,58;;;;
19.11.1985;26,58;;;;
20.11.1985;26,59;;;;
21.11.1985;26,63;;;;
22.11.1985;26,75;;;;
23.11.1985;26,78;;;;
24.11.1985;26,8;;;;
25.11.1985;26,81;;;;
26.11.1985;26,82;;;;
27.11.1985;26,82;;;;
28.11.1985;26,82;;;;
29.11.1985;26,81;;;;
30.11.1985;26,81;;;;
01.12.1985;26,8;;;;
02.12.1985;26,79;;;;
03.12.1985;26,79;;;;
04.12.1985;26,78;;;;
05.12.1985;26,75;;;;
06.12.1985;26,75;;;;
07.12.1985;26,73;;;;
08.12.1985;26,73;;;;
09.12.1985;26,71;;;;
10.12.1985;26,64;;;;
11.12.1985;26,63;;;;
12.12.1985;26,62;;;;
13.12.1985;26,62;;;;
14.12.1985;26,62;;;;
15.12.1985;26,62;;;;
16.12.1985;26,62;;;;
17.12.1985;26,61;;;;
18.12.1985;26,6;;;;
19.12.1985;26,59;;;;
20.12.1985;26,58;;;;
21.12.1985;26,57;;;;
22.12.1985;26,58;;;;
23.12.1985;26,58;;;;
24.12.1985;26,59;;;;
25.12.1985;26,59;;;;
26.12.1985;26,59;;;;
27.12.1985;26,59;;;;
28.12.1985;26,59;;;;
29.12.1985;26,59;;;;
30.12.1985;26,59;;;;
31.12.1985;26,61;;;;
01.01.1986;26,63;;;;
02.01.1986;26,66;;;;
03.01.1986;26,67;;;;
04.01.1986;26,67;;;;
05.01.1986;26,7;;;;
06.01.1986;26,71;;;;
07.01.1986;26,72;;;;
08.01.1986;26,74;;;;
09.01.1986;26,73;;;;
10.01.1986;26,73;;;;
11.01.1986;26,73;;;;
12.01.1986;26,72;;;;
13.01.1986;26,73;;;;
14.01.1986;26,73;;;;
15.01.1986;26,91;;;;
16.01.1986;26,99;;;;
17.01.1986;27,06;;;;
18.01.1986;27,13;;;;
19.01.1986;27,15;;;;
20.01.1986;27,2;;;;
21.01.1986;27,31;;;;
22.01.1986;27,39;;;;
23.01.1986;27,49;;;;
24.01.1986;27,56;;;;
25.01.1986;27,61;;;;
26.01.1986;27,67;;;;
27.01.1986;27,74;;;;
28.01.1986;27,82;;;;
29.01.1986;27,88;;;;
30.01.1986;27,94;;;;
31.01.1986;27,97;;;;
01.02.1986;28;;;;
02.02.1986;28,02;;;;
03.02.1986;28,05;;;;
04.02.1986;28,07;;;;
05.02.1986;28,06;;;;
06.02.1986;28,1;;;;
07.02.1986;28,07;;;;
08.02.1986;28,02;;;;
09.02.1986;27,97;;;;
10.02.1986;27,93;;;;
11.02.1986;27,88;;;;
12.02.1986;27,83;;;;
13.02.1986;27,79;;;;
14.02.1986;27,78;;;;
15.02.1986;27,73;;;;
16.02.1986;27,7;;;;
17.02.1986;27,66;;;;
18.02.1986;27,63;;;;
19.02.1986;27,69;;;;
20.02.1986;27,72;;;;
21.02.1986;27,71;;;;
