x;y;Latitude;Longitude;Street;
22.03.2002;41,07;51.135.152;6.915.579;Wernigeroder Straﬂe;
23.03.2002;41,07;;;;
24.03.2002;41,09;;;;
25.03.2002;41,11;;;;
26.03.2002;41,12;;;;
27.03.2002;41,12;;;;
28.03.2002;41,12;;;;
29.03.2002;41,12;;;;
30.03.2002;41,1;;;;
31.03.2002;41,1;;;;
01.04.2002;41,09;;;;
02.04.2002;41,08;;;;
03.04.2002;41,08;;;;
04.04.2002;41,06;;;;
05.04.2002;41,06;;;;
06.04.2002;41,03;;;;
07.04.2002;41,02;;;;
08.04.2002;41,01;;;;
09.04.2002;41,01;;;;
10.04.2002;40,99;;;;
11.04.2002;40,99;;;;
12.04.2002;41;;;;
13.04.2002;40,98;;;;
14.04.2002;40,96;;;;
15.04.2002;40,95;;;;
16.04.2002;40,95;;;;
17.04.2002;40,95;;;;
18.04.2002;40,94;;;;
19.04.2002;40,95;;;;
20.04.2002;40,93;;;;
21.04.2002;40,92;;;;
22.04.2002;40,92;;;;
23.04.2002;40,92;;;;
24.04.2002;40,92;;;;
25.04.2002;40,93;;;;
26.04.2002;40,95;;;;
27.04.2002;40,92;;;;
28.04.2002;40,94;;;;
29.04.2002;40,9;;;;
30.04.2002;40,9;;;;
01.05.2002;40,9;;;;
02.05.2002;40,9;;;;
03.05.2002;40,88;;;;
04.05.2002;40,89;;;;
05.05.2002;40,92;;;;
06.05.2002;40,91;;;;
07.05.2002;40,93;;;;
08.05.2002;40,96;;;;
09.05.2002;40,97;;;;
10.05.2002;40,96;;;;
11.05.2002;40,95;;;;
12.05.2002;40,94;;;;
13.05.2002;40,93;;;;
14.05.2002;40,92;;;;
15.05.2002;40,9;;;;
16.05.2002;40,92;;;;
17.05.2002;40,93;;;;
18.05.2002;40,9;;;;
19.05.2002;40,89;;;;
20.05.2002;40,89;;;;
21.05.2002;40,9;;;;
22.05.2002;40,89;;;;
23.05.2002;40,87;;;;
24.05.2002;40,86;;;;
25.05.2002;40,84;;;;
26.05.2002;40,86;;;;
27.05.2002;40,84;;;;
28.05.2002;40,83;;;;
29.05.2002;40,81;;;;
30.05.2002;40,79;;;;
31.05.2002;40,78;;;;
01.06.2002;40,78;;;;
02.06.2002;40,77;;;;
03.06.2002;40,77;;;;
04.06.2002;40,77;;;;
05.06.2002;40,77;;;;
06.06.2002;40,75;;;;
07.06.2002;40,74;;;;
08.06.2002;40,72;;;;
09.06.2002;40,72;;;;
10.06.2002;40,7;;;;
11.06.2002;40,7;;;;
12.06.2002;40,69;;;;
13.06.2002;40,7;;;;
14.06.2002;40,69;;;;
15.06.2002;40,72;;;;
16.06.2002;40,72;;;;
17.06.2002;40,72;;;;
18.06.2002;40,71;;;;
19.06.2002;40,68;;;;
20.06.2002;40,7;;;;
21.06.2002;40,68;;;;
22.06.2002;40,68;;;;
23.06.2002;40,66;;;;
24.06.2002;40,65;;;;
25.06.2002;40,64;;;;
