FID,saison,baumart,link,last_update,_geometry
stadtbaum.5747bea4-3b38-4b18-8e51-80adf4507d7f,2019/2020,Magnolie,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345902 5678253)
stadtbaum.f008ca3c-82d6-4218-b60f-dce5419f037a,2019/2020,Hainbuche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (344779 5678180)
stadtbaum.4ce92e06-a0dc-4cb0-a0c9-a8baa707277a,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345457 5678197)
stadtbaum.43e5741c-4a9d-4944-9a32-a624e059dc87,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345457 5678232)
stadtbaum.0b9841a3-e503-4432-a765-d419cd290b6d,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345457 5678257)
stadtbaum.6c170714-a691-4a24-823c-c5799b2d6f8d,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345762 5678031)
stadtbaum.2bd97e1d-bebb-4bc5-aa5e-36e2b61b4f43,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345785 5678042)
stadtbaum.9ff8c583-ec2f-4a2e-b5c8-b77d1da61bbf,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345909 5678146)
stadtbaum.a920619b-78ee-4f30-8467-4113edbc2a61,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345930 5678153)
stadtbaum.952eddd6-a355-492f-932d-86c5aeb163a3,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345938 5678169)
stadtbaum.4f21686a-bac9-4efe-80ee-ff9cbb2a24bd,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345258 5677878)
stadtbaum.9deccb8c-f9d3-4a3b-8baf-2a7492e5348a,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345261 5677842)
stadtbaum.6fe8b36e-f5df-4d6f-b5db-97476a2c6b0f,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345235 5677900)
stadtbaum.65a50075-a28a-46e5-bf14-ff6bd8ad6931,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345647 5679016)
stadtbaum.ee38900d-0927-44b5-8321-e2cf5858cfde,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345671 5679019)
stadtbaum.930a5d69-f338-4ba1-865a-f6c92660bf53,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345731 5679028)
stadtbaum.14a38778-4b17-4a12-99db-3e57d90e706a,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345114 5680514)
stadtbaum.fcd6f2f3-535a-40da-9222-cdefe39be40c,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345202 5680515)
stadtbaum.a595320b-5949-4e13-9543-3c9b070dedea,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348896 5677134)
stadtbaum.5a49af41-28bf-478d-a021-e3edb770fda5,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348868 5677151)
stadtbaum.db518a92-7c15-48b6-8262-7cd84d9834b5,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348837 5677160)
stadtbaum.45f0d5fc-8759-4497-90f6-d526bf34e4e4,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348815 5677169)
stadtbaum.ab7cdd13-c309-45e2-8ae2-6f61f11b36fc,2019/2020,Tupelobaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348403 5677389)
stadtbaum.cb8fb74b-2b72-4efc-95e0-be03564acd6e,2019/2020,Tupelobaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348403 5677389)
stadtbaum.16063e2b-3aab-4a21-9bd8-09f49e5e2f3b,2019/2020,Tupelobaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348489 5677341)
stadtbaum.508b67f8-0fd2-4ae2-ac5d-ac761e6b6bc4,2019/2020,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346566 5675847)
stadtbaum.df390af8-23ed-4405-8048-ec09d8275b7b,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346878 5675807)
stadtbaum.27f675ed-75a0-4d60-a249-33b9a15e54e4,2019/2020,,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (343623 5675406)
stadtbaum.8ec12f8e-112d-4bc5-b8de-bcc038df5039,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339260 5677562)
stadtbaum.e332d197-1162-4622-a5ea-b6802aa5dd48,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339235 5677562)
stadtbaum.932f222d-3413-4185-bc26-8282a922a9d1,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339201 5677567)
stadtbaum.943b26ac-8dae-4794-a0dc-6b40c5a86959,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339176 5677569)
stadtbaum.d14fac5f-52a9-4a09-8fa8-f1a36653777e,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339150 5677569)
stadtbaum.691fe863-5e94-4f4c-9d35-c61b14f1ff99,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (339127 5677570)
stadtbaum.b93a46cc-cd7f-4ab2-9162-9a0eb8246c82,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348249 5681688)
stadtbaum.116bc982-ceb9-4b1d-b356-4468ab5f2364,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348267 5681705)
stadtbaum.6d0db431-dddb-47e1-9a05-80ba7a041809,2019/2020,Zierkirsche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (348290 5681732)
stadtbaum.150bed51-65cf-4375-914d-c71e623a8ae1,2019/2020,Hainbuche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (344876 5682696)
stadtbaum.09f7912a-04f6-462f-a8fb-17bde106647e,2019/2020,Hainbuche,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (344897 5682696)
stadtbaum.3fdef865-4d92-483b-8086-ed19cf0cd5d5,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (345994 5682566)
stadtbaum.8d035762-69e8-4756-9edd-3fb2fea41df6,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346010 5682542)
stadtbaum.b56b6432-1853-4ede-bceb-2c5edd8ac63b,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346024 5682521)
stadtbaum.2fb39e8d-1a5f-4437-99dd-48eeec096e07,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346042 5682494)
stadtbaum.c8dd709e-90fd-4a39-adae-d5c8b99063e0,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346330 5682232)
stadtbaum.4c9a4732-be07-498f-b0fb-4c77bcaeff81,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346314 5682247)
stadtbaum.8cd9695c-a277-4995-a1a7-7add8c662ac7,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346295 5682264)
stadtbaum.0d882ea3-8f58-499b-b7d9-ee2b3413d883,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346255 5682312)
stadtbaum.e772c290-e46c-4bfb-9f8a-0b73b74a0409,2019/2020,Zierapfel,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (346224 5682354)
stadtbaum.f62fd552-7861-4481-8ae7-917e5070dabf,2019/2020,Winterlinde,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347149 5681382)
