Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2012;10,4;12,1;14,7;0;5,7;9,9;77;94,2;100;15;59
02.01.2012;5;8,3;14,6;0;3,0;3,4;77;88,6;97;14;67
03.01.2012;4,8;8,2;12,4;0;2,8;2,8;68;78,3;92;22;87
04.01.2012;5,6;6,8;7,7;0,7;5,7;4,3;69;76,4;90;23;74
05.01.2012;3,3;7;9,2;0,5;17,4;2,1;64;84,7;97;26;81
06.01.2012;4,3;5,8;8,2;0,7;2,9;3,1;77;85,8;95;17;52
07.01.2012;4,5;6,7;8,9;0,2;4,1;3,9;76;88,1;100;18;50
08.01.2012;5,6;6,3;7,7;0,1;5,6;3,9;84;90,5;95;14;39
09.01.2012;5,7;7,4;8,8;0;1,7;5,1;88;96,4;100;11;28
10.01.2012;5,5;8,1;9,3;0,7;0,0;2;70;87,4;100;9;22
11.01.2012;8,6;9,2;10,2;0,5;0,0;8;78;84,3;92;11;30
12.01.2012;4,3;8;9,4;0,1;4,8;2,3;81;88;96;18;52
13.01.2012;3,8;4,8;6,8;4,2;0,0;2,2;62;80,8;95;14;43
14.01.2012;2,8;4,4;6,7;3,5;0,0;0,1;71;80,7;88;9;31
15.01.2012;-0,7;2,6;6,1;7,1;0,0;-4;64;85,3;97;6;28
16.01.2012;-2;0,6;5,3;7,8;0,0;-5,5;46;77,2;97;5;19
17.01.2012;-1,8;0,6;4,7;7,2;0,0;-4,7;61;75,2;83;7;19
18.01.2012;-1,3;2;5;1,9;9,2;-4,1;70;85,8;100;11;44
19.01.2012;5;6,9;10,4;0;16,1;4,7;91;97,5;100;15;44
20.01.2012;2,4;4;6,8;0,6;7,0;0,5;81;90,4;98;15;74
21.01.2012;2,7;6,3;9,9;0;7,5;1,3;76;93,2;100;17;50
22.01.2012;5;6,7;9,3;0;0,9;3,5;72;79,7;93;21;83
23.01.2012;2,3;5,2;7,2;0,6;2,4;0,8;76;88,1;95;13;43
24.01.2012;1,8;3,5;5,5;3;0,0;-1,3;86;93,9;98;9;20
25.01.2012;1,1;3,1;5,4;2,6;0,0;-1,4;72;84,7;98;16;44
26.01.2012;2,4;3,3;5,2;0,3;0,4;2;69;80,6;91;22;50
27.01.2012;1,3;3,8;7,8;6,8;0,0;-1,7;64;86,5;95;12;28
28.01.2012;0,2;2;5,1;4,7;0,0;-3,1;75;88,1;99;10;33
29.01.2012;-1,3;-0,2;1,2;0;0,0;-1,5;77;83,2;94;11;30
30.01.2012;-0,9;0,4;1,5;0;0,0;-1,2;68;78,5;88;8;20
31.01.2012;-5,9;-1,9;0,4;7,9;0,0;-7,1;55;68,9;81;14;46
01.02.2012;-7,4;-5,2;-1,5;8,3;0,0;-8,9;37;57;76;18;63
02.02.2012;-9,2;-7;-3,8;8,5;0,0;-11,4;40;53,1;65;16;43
03.02.2012;-10,5;-7,2;-4;3,1;0,0;-13,2;51;66;84;7;22
04.02.2012;-9,6;-6,8;-3,4;7,7;0,0;-12,9;55;76,5;94;7;24
05.02.2012;-8,8;-6,1;-2,6;8,1;0,0;-9,9;34;55;74;13;33
06.02.2012;-8,6;-6;-2,8;8,6;0,0;-12,4;40;51;63;10;26
07.02.2012;-12,1;-8;-5,2;6,4;0,0;-14,4;53;65,8;78;14;44
08.02.2012;-6,2;-3,8;-0,9;7,6;0,0;-9,6;57;65,3;73;17;44
09.02.2012;-7,6;-4;-0,2;0,4;0,0;-10,2;70;80,2;88;8;28
10.02.2012;-7,5;-4;-0,4;8,9;0,0;-10,9;52;69,1;89;11;35
11.02.2012;-10,5;-6,2;-1,6;9,2;0,0;-13,5;52;68,1;78;10;35
12.02.2012;-7,6;-4,2;-1,8;0,1;0,0;-10,8;65;75;85;6;19
13.02.2012;-2,2;0,4;2,6;0;2,5;-2,2;86;97;100;8;22
14.02.2012;1,1;3,1;5,5;0,1;3,8;0,2;79;94,7;100;11;39
15.02.2012;2,4;4,4;5,8;0,1;0,2;1;76;89,3;100;17;56
16.02.2012;1,8;4,4;6,8;0;1,9;-0,3;92;96,2;100;9;26
17.02.2012;4,8;5,6;6,6;0;0,8;4,1;95;97,7;100;12;33
18.02.2012;5;7,5;9,2;0;3,1;4;83;91,5;100;15;59
19.02.2012;0,2;3;7;5;1,7;-1,7;64;89,2;97;14;50
20.02.2012;-1;1,6;5,2;4,9;0,0;-4,4;65;84,9;99;9;30
21.02.2012;1,6;4,9;9,1;4,6;0,0;0;63;70,6;79;14;35
22.02.2012;1,9;6,2;9,8;5,7;0,6;-0,8;56;69,7;88;13;41
23.02.2012;5,5;7,9;9,8;0;0,3;4,8;69;93,7;100;14;39
24.02.2012;7,5;9,5;10,1;0;1,4;3,8;96;98,9;100;14;37
25.02.2012;5,3;7,1;9,2;0,4;0,2;2,4;70;86,5;100;10;31
26.02.2012;4,5;6,1;7,9;0;0,9;1,4;82;89,2;97;9;28
27.02.2012;4,1;7,2;10,4;0,5;0,1;1;67;85,3;97;11;33
28.02.2012;7,5;8,8;10,2;0;1,5;7,1;92;97,2;100;10;28
29.02.2012;9,2;10,6;12,5;0;0,0;9;88;95,5;100;6;15
01.03.2012;8,4;10,3;12;0;0,1;8,3;88;95,1;100;6;19
02.03.2012;7,5;9;10,9;0;0,0;7,3;85;92,2;100;9;33
03.03.2012;8;9,4;11,2;0;0,0;6,9;75;84;92;11;33
04.03.2012;7,7;9,5;12,2;1,1;11,3;4,8;74;89,9;99;10;35
05.03.2012;4;6,2;8,3;1,1;0,2;3,5;62;77,2;97;18;48
06.03.2012;3,6;7;10,3;4,1;0,0;-0,3;52;68,5;81;11;35
07.03.2012;1,4;4,5;8,5;0;12,1;-1,3;58;82,5;99;13;61
08.03.2012;1,8;5,1;8,1;2;3,5;-1,7;65;88,6;100;10;39
09.03.2012;1,9;7,2;12;5,4;0,0;-1,5;54;79,3;100;10;33
10.03.2012;7,8;9;10,3;0;0,4;6,9;76;90,4;97;10;30
11.03.2012;7,4;9,9;12,7;0,2;0,0;4,8;66;83;97;8;28
12.03.2012;5,5;7,2;9;0;0,0;2,3;87;93,7;100;6;19
13.03.2012;7,6;8,3;9,1;0;0,0;7,2;74;79,2;91;7;20
14.03.2012;5;8,2;11,3;4,1;0,0;0,8;61;73,7;86;5;20
15.03.2012;3,7;10,1;17,6;10,9;0,0;1,1;45;68;89;11;31
16.03.2012;7,5;13,1;20,2;10,7;0,0;3,3;42;61,5;75;9;24
17.03.2012;8,1;10,6;12,7;0,2;0,1;6,4;60;79,6;94;8;33
18.03.2012;5,4;9,2;11,1;0,1;1,3;2,5;69;79,3;91;11;54
19.03.2012;4,5;7,6;11,3;10,5;0,0;-0,4;44;68;92;8;30
20.03.2012;2,1;8,2;14,2;9,6;0,0;-1,3;47;67,8;88;7;24
21.03.2012;4,6;10,7;17,2;11;0,0;0,3;43;65,9;88;7;24
22.03.2012;6;13,4;20,8;11,2;0,0;1;44;68,4;95;9;37
23.03.2012;7;13,8;20,8;11,1;0,0;2,3;38;66,2;96;6;22
24.03.2012;7,4;14,1;20,1;11,1;0,0;2,4;43;64,5;93;7;26
25.03.2012;8,4;13,8;20,5;11,8;0,0;4,1;31;59,2;87;9;31
26.03.2012;6,4;12,8;19,4;11,9;0,0;3,2;27;52,4;78;10;35
27.03.2012;6,5;12,8;18,6;11,4;0,0;1,8;41;63,3;85;8;33
28.03.2012;8;13,5;19,4;11,6;0,0;3,6;42;64,5;91;8;28
29.03.2012;6,4;9,8;13,3;2,8;0,4;3,1;59;71,7;87;13;46
30.03.2012;7,3;9,2;12,2;1,2;0,5;6,9;71;85,1;99;16;48
