Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2013;2,1;6,5;9,6;0;2,2;-0,3;77;90,6;98;10;46
02.01.2013;4,3;5,7;7,3;0,3;0,0;3,6;84;88,2;93;9;30
03.01.2013;7,1;8,7;10,3;0;0,7;6,4;83;96,4;100;11;35
04.01.2013;7,7;9,3;10,4;0;0,7;7,6;93;98,1;100;9;31
05.01.2013;6,7;7,6;8,4;0;0,2;6,4;91;97,4;100;7;26
06.01.2013;6,5;7,9;9,2;0;0,0;6,3;91;96;100;7;24
07.01.2013;6,9;8;8,9;0;0,0;6,7;80;91,1;100;5;20
08.01.2013;4,7;6,3;7,4;0;0,2;4,6;86;91,3;100;7;24
09.01.2013;4,4;5,3;6,5;0;3,9;2;86;96,4;100;7;26
10.01.2013;1,7;5,1;6,9;1,2;1,6;1,3;79;89,9;100;9;26
11.01.2013;-3,8;-0,9;2,3;3,8;0,0;-6,3;60;89,5;100;4;28
12.01.2013;-6;-2,2;2,5;7,3;0,0;-8,4;62;82;100;6;22
13.01.2013;-4,8;-1,7;2,2;6,1;0,0;-6,9;54;76;89;9;28
14.01.2013;-5;-2,5;-1,3;0;1,8;-7,3;69;84,9;97;7;30
15.01.2013;-3,6;-2,2;-0,7;0;1,0;-3,8;77;92;100;9;33
16.01.2013;-3,8;-2,9;-2,1;0;0,0;-2,9;88;93,6;97;7;20
17.01.2013;-4,2;-2,8;-1,7;0;0,0;-6,8;88;91,8;94;7;22
18.01.2013;-5;-1,9;1;0,5;0,0;-9,6;73;85;100;9;35
19.01.2013;-6,1;-2,9;-1,6;1,3;0,0;-7;70;76,5;80;13;33
20.01.2013;-6,3;-3,3;-0,3;0;3,2;-7,3;81;86,2;94;12;30
21.01.2013;-1,2;-0,5;0,4;0;0,0;-1,7;89;95;100;6;22
22.01.2013;-2;-0,4;1,6;0;0,0;-3,7;79;91;97;2;11
23.01.2013;-3;-1,2;0,6;0;0,0;-3,6;75;85,3;97;6;20
24.01.2013;-7,4;-3,2;-1,5;0,8;0,0;-10,1;80;85,9;96;8;28
25.01.2013;-2,7;-2;-1,5;0;0,0;-3,4;80;85,3;90;9;44
26.01.2013;-3,7;-1,9;0;2,6;0,0;-4,6;74;86,9;100;14;39
27.01.2013;-0,2;2,1;4,6;0;3,0;-1,9;85;92,1;99;12;54
28.01.2013;0,1;3,4;7;0,9;0,6;-3;79;89,3;100;10;39
29.01.2013;7,1;10;12,3;0;4,6;6;81;91,8;100;15;52
30.01.2013;8,2;11,5;14,1;0,8;2,2;7,1;67;81;96;19;56
31.01.2013;6,3;7,7;8,8;0,5;3,3;5,5;60;78,1;88;16;56
01.02.2013;3,1;5,7;7,4;0;10,4;2,7;76;91,9;100;10;39
02.02.2013;1,1;3,3;5,3;1,5;0,7;0,2;60;86,7;97;14;46
03.02.2013;2,4;3,5;5,4;0;4,3;1,9;66;89,1;98;14;48
04.02.2013;5,4;7;10,2;0,3;1,5;3,9;60;87,3;100;13;44
05.02.2013;1;3,5;5,8;2,2;6,3;-0,3;68;83,3;99;13;57
06.02.2013;0;1,3;4;2,4;3,3;-1,5;79;93,2;100;10;37
07.02.2013;1;2;5;2,4;3,4;-0,2;72;90;95;11;31
08.02.2013;-0,8;0,7;2,8;0,5;0,6;-3,4;71;91,4;100;9;31
09.02.2013;-3;-0,5;2;4,7;0,0;-5,8;75;89,8;100;6;22
10.02.2013;-2,8;-0,7;2,7;8,1;0,0;-3,6;56;74,2;96;15;44
11.02.2013;-2,9;-0,5;1,8;0,4;0,0;-4,3;48;58,3;75;14;43
12.02.2013;-5,5;-1,2;0,6;0;0,0;-7,4;58;68,4;92;7;24
13.02.2013;-4;-1,2;2,1;0,6;0,0;-6,2;66;77,4;90;4;15
14.02.2013;-3,3;-1,1;1,5;1,3;1,2;-5,3;58;76,5;99;15;48
15.02.2013;-0,7;1,3;3,4;0;0,1;-0,8;97;99,1;100;5;19
16.02.2013;1,4;4,1;7,1;0;0,0;-0,2;82;96,1;100;5;17
17.02.2013;-1,7;4;8,6;3,4;0,0;-4,1;64;87,8;100;5;15
18.02.2013;-3,1;1,4;6,7;9,3;0,0;-5,4;56;80;100;5;19
19.02.2013;-1,3;1,7;3,4;0;0,8;-2,8;83;91,2;100;8;31
20.02.2013;-1,9;0;3,2;3,6;0,0;-3,8;59;77,3;95;11;33
21.02.2013;-2,2;-0,7;2,5;1,2;0,3;-3,5;64;76,5;87;12;39
22.02.2013;-3,6;-2,2;0,2;2;0,0;-4,6;56;73,5;87;13;44
23.02.2013;-3,8;-2,4;-1,1;0;0,3;-4,4;76;82,2;93;13;39
24.02.2013;-1,2;0,1;1;0;0,5;-1,4;93;95,3;98;9;28
25.02.2013;0,8;1,4;2,2;0;1,3;0,6;95;97,2;100;11;33
26.02.2013;-1,3;2,6;6,5;3,4;0,0;-3,6;73;91,7;100;10;41
27.02.2013;0,4;1;1,6;0;0,0;0,4;86;91;95;11;-
28.02.2013;0,9;2,8;5,6;0;0,0;0,6;68;80,5;90;7;19
01.03.2013;1,6;2,7;4,3;0;0,0;1,3;71;82,3;99;7;26
02.03.2013;-0,3;2,4;4,9;3,6;0,0;-2,5;61;72,1;83;6;20
03.03.2013;-0,6;2,5;4,9;0;0,0;-3,2;73;80,7;91;5;19
04.03.2013;-1,2;5,4;13,3;10,5;0,0;-3,7;34;62,6;90;12;43
05.03.2013;2,9;8,4;15,8;9,6;0,0;1;36;51,8;64;11;30
06.03.2013;5,2;11,2;20;9,5;0,0;2,1;25;47,2;69;8;26
07.03.2013;5,5;9,9;14,9;0;1,9;3,6;48;65,5;97;5;19
08.03.2013;8,9;12,4;18,2;4,6;2,2;7,7;56;77,7;93;10;28
09.03.2013;6,1;8,8;11;0;11,7;5,9;92;96,1;100;11;33
10.03.2013;-1,3;1,9;6,2;0;0,8;-1,2;82;91,4;100;12;33
11.03.2013;-3,2;-2,2;-1,2;0;0,4;-3,2;68;79;91;15;37
12.03.2013;-4,6;-2,9;-1,8;0;0,6;-6,2;71;81,5;90;16;48
13.03.2013;-9,3;-2,8;1,4;8;0,2;-13;53;76,7;97;6;24
14.03.2013;-4,2;-1,3;3,3;3,9;0,0;-6,4;47;78,5;100;7;37
15.03.2013;-6,8;-0,7;3;4,2;0,1;-8,8;53;74;97;8;33
16.03.2013;0,2;4,5;8,9;5,9;2,2;-0,3;32;50,3;90;18;48
17.03.2013;1,9;4,3;7,3;2;0,5;1,2;46;81,2;94;17;48
18.03.2013;1;6,1;11,8;8,7;0,0;-1,2;42;67,2;88;9;28
19.03.2013;-0,8;3,3;7,8;1,5;3,3;-3,3;76;89,2;97;5;22
20.03.2013;0;1,1;3,6;0;9,5;-2,3;95;98,9;100;7;28
21.03.2013;-2,6;0,6;3,9;1,2;0,0;-4,9;65;83,7;99;5;24
22.03.2013;-3,7;0,9;6,2;5,9;0,0;-6,4;58;75,9;100;14;41
23.03.2013;-1,1;0,7;2,3;0,5;0,0;-1,2;56;63,6;71;16;44
24.03.2013;-3,4;0,5;5,1;1,3;0,0;-3,2;20;39,2;56;18;46
25.03.2013;-3,4;0,2;4,4;10,1;0,0;-3,4;41;49,5;61;19;52
26.03.2013;-3,6;0,5;5,7;11,4;0,0;-5,8;35;50,5;71;15;44
27.03.2013;-4,6;1,1;6,9;11,5;0,0;-7;35;54,2;83;10;35
28.03.2013;-2,9;1,3;6,1;3,1;0,0;-5,3;44;62,8;78;7;26
29.03.2013;-2,5;-0,1;2,6;2,3;0,2;-5;67;86,6;100;7;24
30.03.2013;-1,7;1,2;5,2;5,3;0,0;-3,1;54;76,8;100;8;30
31.03.2013;-2,4;1,1;4,5;1,3;0,0;-4,8;58;77,4;92;8;28
01.04.2013;-3,1;2,3;8,3;11,3;0,0;-5,8;37;59,7;90;11;37
02.04.2013;-2,6;2,8;8,6;11,9;0,0;-5,3;35;54,7;77;14;48
03.04.2013;-2,1;2,4;6,9;1,2;0,0;-5,1;47;60,3;79;12;35
04.04.2013;0,6;3,5;7,5;3,1;0,0;-1,8;52;61,4;71;13;37
05.04.2013;-0,1;2,5;4;0;0,1;-2,3;68;74,7;83;11;33
06.04.2013;2,2;3,7;6,9;0,8;0,3;1,2;51;77,2;97;8;28
07.04.2013;-1,8;5,6;11,1;12,2;0,0;-4,2;29;54;88;5;20
08.04.2013;0,3;6,1;11,4;4,9;3,8;-1,6;34;59,6;99;10;46
09.04.2013;1,2;6,2;9,4;1,6;2,0;-0,7;79;90,4;100;9;33
10.04.2013;6,4;7,9;10,3;0;7,8;4,4;78;90;97;7;31
11.04.2013;7;11;14,9;1,6;0,0;6,5;62;81,8;100;12;48
